image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2.03784787627e+24,96.0,
40,-8.03055564305,4.07166597496e+24,100.0,
60,-7.07067885003,-6.51114397463e+24,100.0,
80,-5.82732914277,-1.44548460946e+24,100.0,
