image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,3.24951338176e+16,28220793.84,70893254240.4,1.34311768271e+16,57451407681.6,76826.38,8.6578065645e+16,2.41236040844e+12,1.2688868175e+11,3.25230349649e+12,4.77304660516e+13,3.12686398544e+12,59070701924.8,2.92725471101e+21,6.31964304326e+16,6.52406612852e+11,4.26953056259e+17,3.66233399633e+22,3.18915509769e+17,21786489.83,7.43430960154e+11,4441137508.16,2.53415622327e+12,10559671748.9,1.04662651103e+12,19349709.28,5.8675510874e+12,8.44018031494e+16,4.26400163482e+20,9724046.08,3.54472220444e+12,13563670.42,5.0082354657e+19,52351102.96,1.01594503242e+15,11844749.98,2342545282.19,1.96707037344e+16,23069360.74,1.26302451719e+13,1.53604161056e+12,1.301311513e+12,4.9703091748e+13,2.93163002009e+13,1.71447013595e+11,2.23929170246e+11,9.52064485773e+11,1.71697203824e+12,1.50959348271e+12,1.11814974344e+17,7.24010192813e+20,109185855.57,2.40425807747e+11,1.39799795211e+11,1.29955477818e+18,2.35373541591e+16,6.27983416486e+12,1.56991385686e+22,3.91207120967e+17,2221660807.24,37148656.22,1.60873595516e+13,7.97896831369e+16,27669248.55,6.27792966001e+17,3.35612552034e+17,2.94018967878e+12,1.98399699623e+17,1.63637836864e+14,2.29863659357e+20,1.52727031427e+12,1.86031531418e+15,1.17261081638e+13,5.36987032038e+16,7053267.77,2.2201687135e+17,1.57954749927e+15,5.85896019844e+18,19907890.14,1.19406750266e+17,9.09984265135e+11,3.19854199122e+16,5.40757050471e+15,1.28840661122e+17,2.05845326479e+22,5.04695293922e+17,3.47755336112e+14,4.36260175672e+12,4.64133642102e+11,9.98545780316e+16,2.37223508902e+17,6.14880332286e+15,6.8084458231e+13,3.3011064024e+11,5682502.95,6.88340941643e+11,7.57261915644e+11,64257749.64,6.49292514239e+15,10453761.54,
40,-8.03055564305,41385164.97,2.63366389143e+14,4284127826.01,3.00530778247e+12,6.06311896037e+11,3.35985026715e+12,54116455.48,3.52651076383e+12,1.88742020947e+12,2.98277686348e+17,1.10326873587e+18,19507745.64,1.42259935538e+12,7.22890657712e+15,1.46351753848e+22,5.16993808962e+17,1.40952998614e+17,5.3928545192e+16,7234378269.65,3.85032840792e+14,5.05630603802e+12,3.26523696384e+16,3.13444104751e+20,4.17922052903e+11,1.0947733104e+21,4.7108308713e+17,20236585.56,1554885653.19,1.57169317994e+20,2.15400193603e+16,6620552.81,1.81378837466e+12,10589274884.9,6.21135210762e+11,2.74768188825e+20,1.3194185921e+16,70023729818.5,3.93830476086e+13,6.17299126942e+20,4.40402724555e+13,1.16181575028e+12,2.64152241658e+17,1.88498684696e+20,5.01407516494e+20,1.163921096e+11,1.89088554623e+12,9.26504693694e+11,9.36658683281e+14,60907992.8,2.5316375998e+12,2.03373963002e+12,3.06775933909e+18,11122980.05,5.19239677773e+11,4.61142882545e+17,4.22144537338e+11,1.1001811685e+15,47223661834.5,1.02825359555e+17,1.17254196023e+12,3.26092999307e+12,2619332.32,226415.9,1.166650348e+12,1.37173525684e+20,3.5417177087e+22,2.32951683918e+17,2.27215180381e+21,29443729.06,1.68533901187e+15,6.94135629604e+12,81967155166.0,2.43583252405e+16,5.37273027204e+16,3.66150025109e+12,107577747.18,9.87942959883e+11,2.007241462e+15,2.32933243247e+12,137890507.31,3.10028002751e+21,5660165.04,68288152.99,1.72987658057e+12,8.00618931939e+11,2.31941222895e+14,1.11371210741e+13,8.92568402586e+15,9.92241188438e+11,4.58868344297e+14,4.72449452904e+12,5.7772251583e+11,4.67621449803e+12,3.66665074688e+14,1.31416837296e+19,1.79383382225e+12,6.68412364025e+13,2072579491.74,5.41147611899e+15,5.60068800582e+11,
60,-7.07067885003,2.72015455492e+20,1.8435337653e+17,2.75532806759e+12,6.98034147962e+16,2.64198474595e+17,3.08956714285e+12,1.16616462353e+13,2.29411130658e+16,26720345.05,3079231716.03,1.81470258408e+16,4.16953976196e+17,184870.32,5.099269666e+11,7.35144414392e+12,1.57806686485e+16,1617409.63,1.01801619515e+15,4.6444150881e+17,2.31441338752e+16,6.53032865796e+11,1.40706291255e+14,8.76022728588e+16,24466388756.7,48451283957.5,6.40207386369e+17,1.17903612654e+16,2.39348470678e+17,789361655.45,1.68793112695e+12,151194229.99,27737051.5,9.67593124584e+21,3.19902235984e+12,3.43891674544e+18,3.60747739811e+15,5.42788584163e+11,1598468947.42,2266566943.25,8.67557379314e+15,1.6005066677e+21,2.69410244342e+15,2.57318764348e+17,1.53241694923e+18,9.19450391012e+16,29657178.28,5.85564053203e+17,8.22577740201e+11,1.2265904842e+20,2.61894960015e+16,6.69191470031e+16,28709684.95,1.44058301683e+18,2.56920456313e+12,2.42135427828e+17,3.57,3.9240284934e+12,2.57870714257e+17,811.26,1.1772037417e+14,1.77801576391e+16,1.7209494234e+17,4.02891048472e+21,679431.95,2.84475359966e+21,2.68612969774e+11,1.75779491269e+11,2.09853106251e+16,3.45502347953e+16,1.46091883427e+17,2.8032821232e+12,18375626.58,8712235.89,17451012.36,4.53664680482e+12,6.85168072092e+17,1.67918505913e+12,67485759651.2,3.81741137548e+15,1.30830630718e+17,7.62640627086e+11,3.33514460579e+11,3551384.98,1.24943894678e+12,8.97652233245e+12,6.46646200418e+12,1.82175482384e+12,87493973881.0,5527478.82,2.90896592507e+16,67.83,3.84955989452e+12,1.18469202894e+17,1.11587844738e+11,3.22722709379e+12,2.39183569252e+11,4.43945685226e+12,27192179.56,3.26354662975e+14,8.55161961837e+11,
80,-5.82732914277,6.76749809358e+15,28109390.46,2.78220291463e+19,1.02408471098e+21,1.73606396445e+13,1.03549465056e+11,3.332092083e+16,6.14975883297e+11,268499.95,3.10732705237e+12,218187.47,1.5982475188e+20,2.6078645959e+15,5.35092131418e+15,1.0159953373e+13,4.27432765281e+17,1.77073075586e+12,6.04335039469e+11,7726150681.55,2.61714030967e+15,3.38865314487e+17,54239086.82,2.65393767517e+16,48395211.86,1.18640651959e+16,3.53834708542e+11,51088364.17,2.6127115757e+16,8.46900880462e+15,6.59813752548e+11,2.73537661084e+20,2.58376292806e+16,2368431289.08,3.07336301604e+14,1.25481636745e+12,2.68178614001e+13,4.70047059738e+14,1.68967332572e+16,1.05183413817e+12,6.97676096471e+16,2.83326634317e+20,8.021978122e+12,2.79083777436e+22,6861194354.3,24112481.64,9.49003788849e+18,3.06542277627e+17,2.38050894616e+14,6.45233334236e+17,2.14218185346e+15,9.0387232262e+14,9.89632482172e+14,2.04301056751e+12,7.36459104244e+20,9.5773129395e+16,3.73456042784e+19,38853255.11,1.86556037899e+12,1.62435342722e+11,2.83805438137e+14,2.36298651759e+12,1.61677191761e+12,48957015939.8,2.92383118162e+21,3.69626520899e+18,70903084.44,2.01452039082e+15,1.46850964614e+13,1.37337759012e+16,4.5394849856e+19,1.5609286237e+12,38278098366.5,5.589667334e+17,10692610788.8,6246373959.17,27428458.77,2.97312305083e+12,1326028.57,3.14661096027e+12,4.95856223232e+11,1.48928338481e+12,4.47310530497e+12,4.81798628247e+14,4.43810460584e+12,5.17143858376e+16,2.92436212351e+20,1490966123.93,36878526568.1,2.21222759898e+16,1.10737814959e+15,4.38374345566e+12,7.53165479727e+13,2.43868517011e+17,6.16935408271e+16,5.21345668945e+11,8.34663319474e+21,5.03096797032e+17,2.80615136383e+12,0.01,105447.04,
