image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-6.98661561667e+20,100.0,
40,-8.03055564305,5.13715168046e+20,100.0,
60,-7.07067885003,1.23191347888e+20,99.0,
80,-5.82732914277,1.90475521294e+20,99.0,
