image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,15.3303274327,62.0,
40,-8.03055564305,6.476703095,67.0,
60,-7.07067885003,10.1907761625,63.0,
80,-5.82732914277,10.7170500559,67.0,
