image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,30.7096882468,6
40,-8.03055564305,8833.55035802,6
60,-7.07067885003,-6.10004070123,5
80,-5.82732914277,-3045.29195708,5
,,,5.5
