image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,3340760.26,28579.02,6.4,1818.07,2.07,0.05,7440.92,12612801.3,7539.57,0.6,208580.54,1377.99,239.75,38129.49,0.01,652.51,1701.68,146365.77,7241.33,1336331.54,5523.72,60321.99,56359.19,0.1,7376.16,18192.49,16035055.33,1614.88,4034111.43,21811.58,928.86,3638.65,546.6,1101.64,568692.25,208603.73,61174.81,125.04,36362.69,35340.08,0.01,1731.58,15104.87,82.32,61995.34,1089.26,2477043.34,564143.34,26.3,59.31,2256343.36,20880.37,6.73,3.64,147695.85,2436.4,1.81,969.81,306.02,243.02,124697.83,9532.17,4128.29,2870.11,0.17,4.54,7173.85,66.02,28.1,682778.67,32382.45,1143.8,1336344.41,6.4,7585103.31,846.63,2249.1,1003.58,587.16,67.76,2.62,6.09,15137.68,11.5,167045.28,180564.5,907.74,71.47,1.74,154.3,0.59,3700.88,1788.14,4406.92,651.82,1.0,0.5,8059978.79,0.29,489.68,
40,-8.03055564305,343.54,9672.84,1896275.25,207.05,48.8,1105528.75,3.77,10337.77,143048.47,1.23,1147441.12,0.02,470483.54,10.35,34.44,14814.67,2.5,11.49,8714.89,12702961.31,2008276.36,2.0,0.74,9189.6,8181894.64,139474.25,4585.22,141131.37,4755.73,4029990.89,0.4,2045460.25,2303450.56,340494.3,14351989.4,2004455.05,564544.69,56270.06,19374.11,333.98,6.62,68.87,5404784.71,6588.62,16162536.93,224282.2,1385548.16,0.01,0.14,6622.83,73.4,149.49,0.43,366.56,3241240.18,14930166.43,87.69,794.85,11.92,924.38,2428275.68,2060280.61,3804967.98,106722.75,0.92,13594671.69,4975.98,17428.13,3804.52,0.06,67.79,11.49,11.06,31803.82,4577.69,7.96,1.33,10.81,2.88,1368.79,41285.99,60322.01,113.24,64576.59,47.53,333303.82,385.47,31587.79,3602201.8,3.65,683.98,1126370.15,37.37,160553.99,30.6,36363.42,5079695.62,1169.59,11.18,2053167.88,
60,-7.07067885003,39.95,3.22,3840793.13,629.9,653.54,33.65,2453705.77,0.0,1553.03,30518.76,508393.31,8.29,2.29,10.53,165927.86,30.59,61866.66,2.1,33387.67,1578.02,19879737.48,4.4,9147.85,486.87,401.46,14587.59,88.03,232.23,138045.92,62.42,24194.79,135098.17,39674.14,4.34,240.01,978.55,9858481.83,15446.89,1448.69,35255.34,14594.36,30163.21,3542.09,61.18,49.42,42.34,339594.69,8295.67,4512.96,13223.42,21.3,128728.96,53292.56,0.8,3933.95,14207.81,940958.54,20.09,62.22,68380.81,677.48,499.22,4403.81,65886.15,3804690.52,10.53,61.39,0.05,2099873.67,2.64,2.58,7.69,5.32,10.53,85.12,1943.84,11829.34,0.02,0.01,652.5,460.39,14072.68,201738.84,0.06,8.05,75.05,645.4,94095.86,46.58,393918.63,60.71,126.23,0.3,59977.87,1.45,334.75,27940.74,10.53,1803311.57,523.25,
80,-5.82732914277,6469.46,229.2,27.19,57.1,18836.64,17624.51,0.01,8435.17,55109.07,876.49,32426.71,41760.71,292731.5,201.42,7146.79,4.49,563753.44,29.49,1896104.44,0.03,16680920.03,87314.49,2698.06,1.81,44.65,9.29,2.05,137.74,1751.51,407.44,165787.54,11.84,1305.02,22.17,2.84,6681.47,60851.19,3795.36,704.83,2045470.96,0.37,43.53,35673.65,15822319.49,7764240.15,1237626.78,0.15,1163.62,59.9,4052.75,1930751.6,0.01,978.74,2401452.34,0.23,470486.93,1998.21,19786646.71,189057.53,398152.77,0.04,41.67,126.22,237050.37,414.97,15528464.64,2270.32,41962.14,5493.03,795.92,15.17,5065.29,9.53,1580.33,21720.78,29732.41,1.13,92651.01,292733.88,431.34,54531.59,10455.14,66.6,130858.6,143156.03,0.19,8230.07,8.7,9319.91,250556.98,5053.7,276.73,0.92,297923.27,152.71,4.03,974.87,3793139.5,18313.71,28161.09,
