image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,2.11140183623,66
40,-8.03055564305,-6.86514439839,67
60,-7.07067885003,-8.35949660152,62
80,-5.82732914277,-6.24960786564,65
,,,65
