image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-215893.365064,84.0,
40,-8.03055564305,-332895.2755,85.0,
60,-7.07067885003,269193.941957,85.0,
80,-5.82732914277,245561.183183,85.0,
overall average SDC = 84.75
