image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,3976.15,970457.76,354.24,0.0,421.07,13936325.25,60148095.27,2265445783.57,18.96,5183.65,0.18,96389.63,3.59,0.0,0.01,3.58,13412.12,1883.91,0.0,750.3,0.12,1175.47,1295.75,13524.51,0.0,3171529.52,2720.61,5.22,262.44,179276.47,1.86,0.86,9025364.33,1636.51,49008.69,7.78,896.17,1.87,120157961.53,14.41,0.0,0.0,7036.2,10.72,8201.4,661193.49,163655.31,272.35,52437.17,1297.21,11001.26,8816.19,96324.61,83963.12,0.0,19.98,7044.04,8645718.92,62184.12,0.0,498116.16,142.93,0.0,0.0,0.0,5.32,8.08,58671.27,178125.61,338009.15,14.32,1590.57,469417.46,2209.73,234682.79,676018.33,0.16,1.47,6.4,77.11,42722.62,75.3,3734.28,4720665.27,708.32,42414948.95,1.98,375.06,59.74,29865263.28,0.06,0.0,187.93,402.59,30437524.08,4683705.07,1109.51,43529.83,27.02,234687.88,
40,-8.03055564305,0.01,0.13,0.01,0.01,76106.26,0.01,0.01,0.01,1300.98,15385.45,0.01,126.08,0.01,0.01,11.49,4813.7,36130536.8,120157950.57,232.23,2293249.05,0.01,6915498.5,7510172.35,6.95,0.01,0.01,14.35,0.01,0.01,95399.91,12162.37,282052.38,28504.06,14.77,65.79,5.41,1.78,7177027.38,11.49,161.75,1.82,118.47,918.1,345039.58,0.01,0.01,4239.66,7334.15,0.01,0.04,9025363.71,3087.47,15.16,106.34,2258158.92,0.01,917.08,0.01,15019770.81,301.81,18727535305.2,347206.21,229.54,58670.89,11.49,0.01,0.01,33.78,557413.21,3080.44,0.01,72.45,3.59,0.01,489.38,29629.28,3692377.92,3712.71,30.94,1297.42,4929240.04,0.01,147843901.48,20969.68,698.02,1.84,295.86,116834.31,30340424.12,7332.04,39913.74,279.81,279631.1,1612129.02,297986890.09,10300.26,2049175.75,166692.35,1353.32,61.41,
60,-7.07067885003,7.0,2305081.86,1439989.78,141049.99,24704.47,186.59,21.03,1803134.31,145432.05,1077.4,3.78,10.53,0.01,29213.92,10.53,4.36,352.33,938733.36,0.01,0.01,32488848.5,25.52,3883.72,2335.21,15.79,48125.2,40309.35,14814.66,1978225.96,0.01,0.01,2.32,3754936.3,2879966.45,26.84,16956.1,11351.08,1560.77,0.01,1995.99,8.85,28.66,14912.39,0.01,0.83,0.01,29334.66,0.01,1833.47,26689.79,11.11,3755945.95,16035640.27,1514186.92,15257284.27,145432.05,18170.36,10918471.84,6026.55,20.76,16313.62,173.78,0.01,31194528554.1,0.43,469367.45,146322.63,17719.72,0.6,2736.36,0.01,280788.83,0.01,209197.49,1.41,751.31,952.94,0.06,117466.51,1.17,20918978794.8,313.83,571.69,0.03,120157951.53,3474.16,3860597.77,29290.9,1966.76,5.72,0.01,118468.51,7.43,7333.02,25403.22,1883223.29,27538954.92,120157965.67,0.29,30039994.66,
80,-5.82732914277,0.01,600301.88,968745.28,26.74,114477.59,4297.18,1249125.2,36814.69,914973.53,1070968.9,3.58,13.6,9.29,1.57,8.61,48.83,3030120.64,2070339.57,354.96,0.01,0.01,6117286.86,11.1,7287363.81,3728.44,113.95,17272.14,3.83,0.01,4.27,916.72,0.33,0.01,9.31,66600.11,14667.73,853.38,0.01,0.9,114371.7,1.27,9.64,5479.25,0.01,0.01,2275.0,0.01,22693.62,2731.7,1767.19,0.09,100681.9,0.01,0.01,33.05,0.01,0.01,7721190.43,45.93,1013.88,2530.07,0.03,3.1,3213906.48,16446.21,381.24,63.91,24175.89,7009.67,7419122.6,258472.35,16304.88,6458.19,60207.22,14.54,14667.73,356.11,0.01,2.49,125278.44,7632.27,117340.15,20.22,2427841271.2,1.08,157.62,7.92,8.73,0.01,245946.04,4231.65,27.86,108.99,5262.09,0.01,1946.56,1833.47,234697.2,0.01,0.0,
