image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,4.2888350684,24
40,-8.03055564305,-2.48356103225,20
60,-7.07067885003,2.09760438239,26
80,-5.82732914277,2.85426372245,28
,,,24.5
