image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,103.8,104.0,94.92,1.24,34.42,9.72,24.54,94.14,19.58,90.78,29.29,9.91,0.96,18.0,35.4,56.95,3.13,15.6,3.77,6.41,54.56,63.24,86.51,24.03,40.82,0.0,19.57,15.16,3.11,97.36,33.95,1.79,116.44,7.26,72.88,9.89,0.03,16.05,3.86,8.33,21.04,50.13,84.62,10.62,77.15,58.43,7.27,49.24,0.0,71.71,1.38,101.29,4.56,19.75,9.73,12.34,110.03,24.18,11.59,56.07,6.52,3.46,25.72,25.4,14.41,7.62,60.61,25.84,11.62,4.75,0.5,7.59,24.91,0.43,20.07,7.76,0.52,15.28,18.16,15.78,4.1,0.02,69.63,38.81,6.71,12.59,7.49,3.85,22.07,1.31,17.4,80.33,3.56,33.93,112.67,91.52,3.87,13.63,2.95,26.82,
40,-8.03055564305,0.01,4.33,31.52,0.78,76.97,14.03,18.02,28.06,0.01,75.12,115.89,61.06,122.99,4.81,23.44,106.02,27.46,0.08,27.11,22.68,19.5,14.15,8.15,4.61,13.28,5.46,9.0,102.87,109.42,0.04,9.22,30.06,106.64,5.66,36.89,6.36,8.03,4.87,0.56,3.73,22.8,15.43,16.21,30.33,67.74,0.27,108.51,27.88,82.92,1.28,76.64,105.26,83.61,2.37,102.19,30.69,6.49,110.99,12.98,54.32,0.01,21.02,4.58,5.04,24.06,2.83,40.88,8.62,1.38,21.58,27.67,22.8,6.11,15.96,7.86,1.11,1.78,6.2,0.09,118.81,126.07,0.95,1.16,8.54,5.97,27.97,2.15,2.62,14.6,10.23,56.14,3.64,28.36,4.55,1.15,118.41,6.93,3.0,54.13,97.16,
60,-7.07067885003,0.28,111.78,4.1,22.4,119.73,11.69,92.49,0.32,17.61,46.04,34.22,73.44,11.85,12.64,3.97,59.01,7.93,1.57,12.89,20.51,5.66,21.62,81.17,55.27,2.57,4.95,17.39,25.23,59.21,16.25,24.96,107.92,16.92,81.54,9.92,12.39,3.06,0.12,0.01,5.67,4.11,6.41,9.85,109.22,6.16,10.83,1.83,0.01,6.43,123.64,119.03,6.64,65.97,0.01,14.96,0.63,38.37,7.25,121.77,111.32,2.98,6.09,17.0,54.68,27.52,6.39,9.85,1.74,118.86,69.14,3.58,7.69,78.75,12.03,11.54,12.73,0.04,22.76,13.09,2.16,0.21,0.97,33.27,59.12,40.91,11.07,14.44,14.59,97.32,0.14,6.99,4.05,2.5,77.11,6.41,35.08,0.0,50.2,16.5,27.15,
80,-5.82732914277,22.98,16.2,4.23,14.49,32.64,110.92,0.01,8.8,3.05,0.01,0.25,46.81,23.09,2.57,14.84,0.68,3.27,7.77,52.17,6.41,17.67,7.06,0.01,6.1,0.25,0.0,13.47,34.2,11.75,63.75,0.01,13.86,4.46,27.97,14.79,14.1,2.68,69.18,18.56,0.16,17.63,72.12,71.94,79.8,77.52,0.05,1.79,15.39,12.97,2.6,12.39,1.62,20.14,6.57,22.92,105.41,1.94,29.0,93.01,42.42,70.23,51.77,8.59,39.56,7.06,26.31,10.36,13.52,0.47,32.35,2.51,6.98,4.92,0.01,2.68,0.01,4.2,14.62,0.0,5.33,0.56,80.97,0.43,27.28,71.71,49.37,10.89,54.25,11.33,23.81,0.89,33.66,6.15,2.31,12.16,122.78,11.69,2.88,98.72,8.6,
