image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-1347.49423906,29
40,-8.03055564305,33848.2194415,30
60,-7.07067885003,27611.6130602,26
80,-5.82732914277,6109.3470904,30
,,,28.75
