image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,203631.71,0.0,0.0,0.0,84.76,12461.7,21.82,12790.1,15.48,0.17,174119.08,626.07,2996591960.6,12755.83,0.0,876.17,5.66,16193.69,121.52,0.5,43527.71,2.46,41.0,6.55,0.71,188.13,41981.56,8088.82,0.0,25552795.67,147464.93,4765.39,5247.69,2596.3,0.0,0.0,32358.49,17.94,0.0,0.0,16179.91,37163.1,0.05,0.0,0.0,7964.97,481.66,0.48,1430266.69,0.0,0.12,145.84,0.0,2.16,0.07,8.16,0.0,6.4,0.17,1272720.08,85.91,2.73,88.94,28.02,1953.91,0.0,49744.17,0.0,779.65,9.73,30.1,3742.94,655.96,1137.94,32351.33,23.52,5203564.85,0.0,161.63,0.0,54375507.38,0.0,49457534.89,1778.24,9126.13,0.0,41981.56,7.79,230.7,15.05,140.41,68531.75,2.77,465662.86,4.72,61652.38,805.26,1072.28,147.87,0.0,
40,-8.03055564305,3421.91,0.01,0.06,0.01,0.02,1312.82,184.3,29.26,0.01,0.01,238552.46,11.1,0.13,1294.11,974.6,0.01,17299.11,62712757.98,0.03,484588.15,1727.95,2.63,10.31,0.01,346.88,0.01,7.53,529880.8,0.01,1795994.09,0.01,0.01,266219.61,329.16,2223.61,0.01,0.86,13.39,171404.48,10.24,10.78,0.01,8204.27,71786.93,0.01,36403.22,19660.32,0.01,238.34,3.71,0.01,302672.03,11.49,8126.15,0.01,0.01,9554.15,0.01,5.58,2004.36,1.63,0.01,1.85,5176.47,64.68,11.49,840.68,1652.59,34457.74,0.72,4780.28,11.49,5894.6,16.84,133421.78,2104.81,0.01,2.13,0.01,3.68,0.01,5.04,0.01,335402.89,137845.94,0.0,271.46,4.19,1692.6,44389.09,238.34,4.42,3813.18,457089.59,10571740.04,1.58,656.41,11.5,14903.89,5.58,
60,-7.07067885003,0.59,5.14,30.74,3.91,123.24,0.18,1.36,96.32,0.01,107.57,10.53,129.58,1.95,283.92,40868.95,11270.2,10280.58,0.51,170460.69,659584.46,1.27,0.01,95523.48,0.01,1436.57,510970.51,903095840.43,376833360.76,0.01,30075.98,15.91,15734.05,2088.86,0.01,3.74,1302.24,324154.95,2545316.75,67973556.97,0.01,0.34,0.01,504828.83,402.34,60.44,164.67,1029619.24,201.16,25164.88,0.02,299843.51,14.3,1.71,1.17,129928285.5,0.01,10375.94,10.53,3.65,0.0,10.53,0.02,0.01,0.01,167.91,0.01,0.01,10.71,363.66,1.7,3712.36,0.92,0.01,520.35,266.47,3556.21,17639.98,3770.12,1148407.04,4.93,604865.31,194060.81,10.82,2010.98,86.88,283.92,103460.89,2044.73,0.01,0.01,0.01,9251.14,2444357365.5,19.07,0.01,9492.51,0.01,1001.7,125872.36,0.01,
80,-5.82732914277,1.5,5.57,673249.57,7.48,435.94,3.41,3586.85,0.01,648.8,7.54,9262.44,0.01,0.01,0.05,13.69,63595.52,25649.82,62009.2,14114.56,1.71,28274.92,55.85,19603871046.5,633.1,298.46,124.22,1.72,7.48,0.01,82.35,968.9,45702267.25,1017528.16,3.16,0.01,0.35,1.13,226199.32,2355332557.15,146.53,3.64,3.89,0.01,0.01,0.01,3240.06,154.59,223.39,3731.31,1017528.16,0.01,976130.97,63595.52,2888.64,0.01,0.01,98.44,1017.82,317674.96,22854938.64,18384.0,18.1,18.16,202765.67,0.69,0.01,3.46,35701990.81,514821.87,0.33,4.65,0.01,10.53,508764.08,0.01,5043.13,1.16,45435.96,445.87,722119799.88,9.29,0.01,840.82,0.01,0.01,37707.55,224418.25,9095.13,1138.55,0.01,7013.07,123543.61,45.69,3.33,0.84,3974.72,1720940.05,0.34,548.75,4614.77,
