image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,515350.022091,56
40,-8.03055564305,-649519.94067,52
60,-7.07067885003,502656.938165,49
80,-5.82732914277,84142.8862074,54
,,,52.75
