image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,1977790.13,6.4,104.45,94531.31,3.21,382.52,0.0,221.81,0.0,31670.49,0.0,6.89,0.0,4949101.36,0.27,104.82,5459236.97,0.0,23611009.97,3313.78,0.0,14925.05,0.0,0.0,0.0,974.54,0.0,13.84,0.0,0.87,0.03,2.66,0.0,0.0,0.0,0.0,2.58,0.08,3653.09,0.0,0.0,68.65,0.0,0.0,0.54,4839.69,5.27,45.45,46125.1,2439735.56,907.74,0.05,0.1,0.0,0.0,0.0,15472.61,27146.91,257536.39,0.0,0.0,1157.26,0.0,6482480.95,10725.11,0.0,0.0,34.46,0.0,0.0,0.0,494.02,0.0,0.0,0.16,0.0,4.42,3169826.36,8.88,824.79,0.0,1.28,0.02,0.0,0.0,224285.0,0.0,36591.44,67.04,0.0,0.0,31.81,1617.07,0.83,0.0,5345375.98,0.0,0.21,0.0,8.41,
40,-8.03055564305,464.72,0.01,0.01,0.01,0.01,209.61,39.89,0.01,1.53,0.1,1426.09,0.01,0.01,0.01,2.94,201.76,99069.14,0.01,0.01,0.01,0.01,1.95,0.01,0.11,95.14,0.01,94.37,0.01,0.01,249391.49,0.01,351.84,0.01,0.01,0.01,0.01,0.01,0.01,131.06,0.01,0.01,0.17,0.01,11.23,0.01,18.8,0.01,9858481.0,0.0,29724.16,0.01,0.03,5345.04,0.01,0.01,0.12,538.32,0.01,23.91,284.56,0.01,3106.95,3.83,0.01,0.01,297.4,0.43,3.06,0.01,4856536.17,22.57,2611.99,8156.47,0.01,0.01,473836.63,6908.34,0.01,0.01,23611015.07,0.01,0.01,0.01,1865.38,0.01,116654.43,674.49,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,409.67,0.01,0.01,62716.38,77.19,
60,-7.07067885003,7.19,0.01,0.01,84.4,1305.01,593430.5,131256.51,0.01,0.01,0.01,0.02,0.01,0.0,237793.22,0.07,1498.86,0.01,0.01,0.01,0.01,17857148.3,0.01,10440.18,0.01,0.15,0.01,0.01,0.01,0.01,1093.93,2.87,0.01,0.01,1687.75,1.93,0.01,1355.79,0.01,13.62,0.01,0.13,0.01,0.01,7.02,2318.78,0.01,0.08,2.32,489.74,0.01,3910.39,36130532.26,0.73,15080.51,0.01,0.01,0.69,0.01,0.15,0.01,0.01,0.01,177.17,0.01,0.01,0.01,0.01,85.8,0.01,310.38,0.01,0.01,534.78,0.01,0.01,0.01,0.02,18.79,0.01,0.01,11022.63,62639.23,0.01,41.54,15.94,0.01,0.01,0.01,19426098.14,0.01,4357.04,0.01,11263.73,0.01,37.32,6872.53,0.01,1.05,0.01,0.01,
80,-5.82732914277,0.08,2.3,0.07,0.01,67.67,0.01,0.01,0.01,0.01,0.01,2.23,0.01,2178.52,0.01,0.1,0.01,0.04,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,4.36,9.64,0.01,0.01,0.01,3.53,0.01,9.29,2041.83,0.01,0.89,0.01,0.01,0.47,231.83,0.01,18.82,0.01,0.01,15170197.71,15762.43,0.0,0.01,0.01,0.01,0.01,0.01,0.01,8.2,0.41,0.01,695.2,1128170.56,0.01,0.01,0.01,0.01,0.0,47.28,0.01,4802894.37,0.01,0.73,0.01,0.01,0.01,108.96,0.01,21381505.17,102406.71,2.96,0.01,0.01,0.01,0.01,0.01,0.26,0.01,3404.29,0.22,2.95,0.01,2.95,0.01,0.01,0.01,0.01,0.01,0.01,886768.52,
