image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,12.1039192839,63.0,
40,-8.03055564305,7.64839079513,46.0,
60,-7.07067885003,12.7583524809,62.0,
80,-5.82732914277,10.338819708,55.0,
overall average SDC = 56.5
