image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-0.719884818223,61.0,
40,-8.03055564305,-5.89833569973,59.0,
60,-7.07067885003,-8.05093953155,54.0,
80,-5.82732914277,-6.04160849691,58.0,
overall average SDC = 58.0
