image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-77314436.7115,55.0,
40,-8.03055564305,-1791597.3755,47.0,
60,-7.07067885003,-3058866.22667,55.0,
80,-5.82732914277,-649089.139821,61.0,
overall average SDC = 54.5
