image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2321172.48612,60
40,-8.03055564305,-2683516.68749,50
60,-7.07067885003,-1849384.39992,61
80,-5.82732914277,160699.269118,50
,,,55.25
