image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,17.4627468046,64
40,-8.03055564305,13.985204942,67
60,-7.07067885003,6.73692051645,56
80,-5.82732914277,12.3109816045,66
,,,63.25
