image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,203631.71,0.0,0.0,6.4,308.3,19.32,14182.86,44.94,12790.1,15.48,0.17,174119.08,626.07,12040.57,2.39,0.0,88947.43,159.82,0.0,2.48,0.0,0.0,0.5,0.18,0.0,1.12,0.02,1392952.58,5.93,15104.77,0.0,83.04,6073.59,910.89,4932.97,2.5,2097.84,0.0,0.0,2872.44,0.0,109.64,163655.31,1619118.95,6.4,0.0,0.0,6.43,107594.22,3.72,53982.59,0.0,0.0,11.09,0.0,838.67,10.32,0.0,0.0,2623.85,127.68,82574.08,10729.82,6.4,8.16,0.0,6.4,0.17,0.0,0.0,22.86,2306.79,0.0,3855.72,7.19,963.32,0.0,41.26,0.04,319.64,0.44,983470.89,660.17,0.0,0.16,10.08,4.84,752.54,159.82,0.0,434.73,164.73,0.0,11.67,16290.1,9036.84,0.0,1.25,0.0,6073.59,
40,-8.03055564305,3957.98,0.01,0.01,0.01,19086.94,0.01,3.74,6.55,0.01,82.04,781.21,0.01,0.01,2.1,16.84,0.01,0.01,0.01,0.01,0.01,0.01,149.36,20.0,0.01,0.01,238552.46,11.1,0.13,1294.11,473.24,10.1,67.31,0.01,32.9,0.01,484588.15,1727.95,258.37,749622.81,0.01,1.02,0.01,0.01,0.03,135.15,32.55,1795994.09,0.26,6519407.01,0.01,2588.23,169.67,0.01,0.01,0.01,1080.58,259158.27,127.82,10.78,0.01,8204.27,71786.93,1215.44,5176.47,484588.15,30581.31,0.01,30260.36,1887.29,228544.85,240846.84,0.13,979.07,25.28,3927.78,0.01,0.01,0.01,0.01,2.24,0.01,0.05,0.01,0.01,0.11,110582.94,0.01,3455.81,30164.52,34457.74,0.72,647.05,745066459.24,5894.6,0.01,0.01,74.46,20531.68,45258.93,0.01,
60,-7.07067885003,3.87,0.01,559.96,39.56,0.75,5844.22,0.01,7.69,15.53,1.76,8044.79,0.01,95.61,0.01,3.83,3.01,59.64,29433.73,10.59,113477.15,10.5,15959.94,0.01,1.56,1131116.58,604.67,9.13,0.01,0.01,0.01,1.79,485.88,1052.19,0.01,255485.25,129.58,9.42,100.96,0.01,19.66,11326.8,380.64,110.12,10160.49,3557.93,10.53,0.01,0.01,293195.35,18170.36,22326.92,514809.78,1671.66,376833360.76,0.01,30075.98,2.05,17.37,0.01,0.01,16249417.8,0.01,1.29,199045.06,0.01,0.01,2013957.93,0.34,154.12,0.01,527.26,0.01,0.01,472.17,306286.49,0.01,25164.88,0.02,2034167.45,1.85,1.71,1.17,17639.98,0.01,3991.97,141.1,3.65,0.0,10.53,0.02,0.01,0.01,167.91,0.01,0.01,10.71,363.66,0.01,0.01,0.01,
80,-5.82732914277,104.94,0.01,0.01,80.64,12.87,871.88,746.63,0.01,7394.46,63498096.44,0.01,514821.87,165730.51,9.65,0.01,1767.19,111811.56,0.01,0.01,2.09,265.15,0.01,0.01,7607.73,52067.32,1032.77,90871.92,25942.16,0.01,876.63,1535.92,851761.23,0.01,0.01,30.28,0.01,6.04,7.48,435.94,3.41,3586.85,293.75,0.01,1181.31,45435.96,0.01,55800.3,0.01,1563.22,4.5,8.25,25649.82,62009.2,14114.56,0.01,0.01,0.01,21.09,1.15,0.01,0.01,212.11,0.01,1805.62,0.01,112.38,45702267.25,1017528.16,2.76,0.18,0.01,0.01,7068.73,9299.26,0.01,31.13,119094.34,196.18,0.01,0.01,0.29,3312.82,0.01,802.74,0.8,23751.38,0.01,39986750.92,63595.52,2888.64,0.01,0.01,3.45,1017.82,317674.96,22854938.64,0.01,1000.36,10298111.08,0.65,
