image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,15.3303274327,73
40,-8.03055564305,6.476703095,80
60,-7.07067885003,10.1907761625,73
80,-5.82732914277,10.7170500559,81
,,,76.75
