image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.99625813873,1.0,
40,-8.03055564305,-8.04110712419,0.0,
60,-7.07067885003,-7.0909609687,0.0,
80,-5.82732914277,-5.8277727977,0.0,
overall average SDC = 0.25
