image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,3.41,4.1,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,21.68,3.26,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.59,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,32.98,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,12.72,0.0,0.0,15.78,32.71,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,26.94,6.47,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,17.3,0.0,20.57,0.0,12.38,3.0,13.19,0.0,25.58,3.17,0.0,0.0,0.0,18.66,5.92,17.3,0.0,0.0,0.0,0.0,5.46,0.0,0.0,
40,-8.03055564305,0.01,0.01,0.01,0.01,0.01,6.48,0.01,0.01,0.01,0.01,0.01,34.22,0.01,0.01,23.43,27.72,0.37,3.5,0.51,0.01,0.01,0.01,7.14,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,17.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.45,4.77,0.01,0.01,16.14,0.01,1.4,0.01,0.01,0.01,0.01,7.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12.01,0.01,0.01,0.01,0.01,0.01,0.01,4.63,17.07,3.04,9.37,0.01,6.13,3.34,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,29.93,18.55,0.01,4.13,0.01,0.01,0.01,0.01,16.55,0.01,14.83,28.11,1.44,0.07,0.01,
60,-7.07067885003,0.01,0.01,0.01,0.01,0.01,0.01,12.33,0.01,0.01,0.01,0.01,0.01,11.31,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,15.9,0.01,32.07,19.27,11.61,0.64,0.01,0.01,0.01,0.01,0.01,15.51,0.01,0.01,0.01,3.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.59,0.01,0.01,0.01,0.01,0.01,27.32,3.79,0.01,0.01,0.01,0.01,0.01,0.01,0.08,36.97,0.01,12.91,15.73,0.01,0.01,0.01,11.51,2.45,25.31,0.01,4.28,0.01,0.01,0.01,0.01,0.66,0.01,0.01,0.01,7.93,0.01,0.01,0.01,4.7,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,
80,-5.82732914277,23.93,0.01,0.01,8.0,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,1.06,0.01,0.01,0.01,0.01,7.59,0.01,0.21,0.01,6.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.21,0.01,0.01,0.01,0.01,0.61,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.39,0.01,0.01,0.01,0.01,0.01,0.01,10.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.95,0.01,10.31,22.49,0.01,2.04,0.01,0.49,0.01,0.01,0.01,0.01,0.01,0.01,10.63,0.01,0.01,0.01,7.73,0.01,0.01,0.01,0.01,30.42,0.01,0.01,0.01,32.49,0.01,0.01,0.01,0.01,0.01,0.01,0.12,1.23,0.01,
