image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,14.85,63.38,64.53,8.67,0.97,16.33,0.29,26.56,0.98,66.99,40.5,0.0,7.52,92.71,1.2,22.51,13.49,0.0,0.64,1.04,2.91,4.71,75.05,13.27,0.42,27.25,0.0,4.34,8.91,0.0,0.34,10.73,0.0,12.98,1.33,0.04,114.09,7.73,7.68,0.0,1.26,0.0,0.05,3.28,87.67,12.36,0.0,11.93,7.32,30.29,4.76,0.0,1.33,0.42,22.85,2.87,10.94,1.25,0.0,0.0,0.85,15.22,26.08,108.15,9.95,1.17,0.0,5.85,2.46,0.02,0.0,0.0,5.62,0.33,29.83,1.53,0.02,24.75,39.72,0.0,11.37,6.27,76.65,0.0,19.42,36.24,15.33,10.88,0.08,92.34,0.0,0.5,0.21,37.32,100.08,7.04,0.02,27.67,7.93,0.0,
40,-8.03055564305,26.99,21.6,4.93,3.45,31.07,36.68,90.05,1.83,82.26,10.96,95.45,1.85,21.21,17.48,26.88,1.53,2.22,101.44,53.3,56.98,0.01,1.86,95.62,5.91,23.46,0.01,102.45,8.46,0.01,0.06,96.85,1.34,68.4,1.8,31.02,20.77,1.84,39.73,78.93,34.96,13.47,118.37,8.35,0.02,0.02,0.01,48.73,46.71,8.07,0.02,0.01,83.68,1.84,46.46,6.36,22.27,28.01,0.01,17.9,0.01,0.05,1.13,10.89,0.72,76.68,55.07,6.51,23.9,0.01,13.79,7.34,24.88,23.63,15.43,5.32,68.29,6.93,0.2,1.8,0.04,0.01,0.01,0.01,28.01,9.97,30.75,79.35,14.56,0.01,0.04,0.01,70.01,12.08,6.05,10.26,0.27,7.33,52.4,1.86,5.01,
60,-7.07067885003,7.93,2.07,25.7,4.2,13.29,12.73,12.52,0.38,12.67,28.34,25.07,25.25,21.66,14.44,0.4,0.35,0.36,23.46,37.31,53.58,0.19,21.01,9.35,0.17,55.09,4.32,13.58,94.56,97.02,9.78,117.91,14.08,4.42,1.93,13.58,0.42,0.01,1.0,13.88,11.43,70.25,7.62,7.08,0.68,1.1,100.1,30.21,2.73,21.56,13.92,89.53,27.35,84.38,94.57,7.71,4.08,62.32,0.11,37.31,0.67,2.62,0.44,0.34,111.64,0.4,11.58,0.05,0.27,0.31,9.03,21.56,29.96,2.61,31.56,28.1,1.91,84.66,0.59,0.01,7.74,29.63,0.01,5.63,0.01,53.91,0.01,0.01,0.01,0.01,12.69,0.75,33.89,82.98,2.86,0.01,5.96,29.98,5.63,16.07,28.14,
80,-5.82732914277,0.57,91.28,5.14,6.34,0.01,8.43,1.7,0.01,2.87,5.69,3.95,12.18,1.94,1.72,0.5,110.02,17.47,0.01,0.55,6.23,16.89,25.44,0.26,10.36,0.01,9.95,0.43,19.24,0.01,3.33,12.79,0.01,0.4,1.15,3.25,33.78,73.7,12.68,5.21,0.39,0.01,1.58,108.51,9.46,0.24,0.01,92.48,0.26,36.18,1.7,3.21,0.11,23.52,0.02,119.66,71.93,7.45,0.92,30.04,0.13,14.7,19.04,111.22,60.06,0.01,101.42,19.0,0.01,51.5,6.49,0.11,0.01,0.32,0.4,90.91,0.01,2.96,0.01,0.01,92.85,54.49,65.41,19.26,58.4,21.1,103.48,0.45,10.57,3.84,1.05,0.41,92.81,14.28,15.63,107.6,0.01,72.04,17.05,15.74,36.24,
