image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,261891.51,60.92,267.45,965692.81,811.18,12206181.21,15996.08,97166234858.8,10555636.62,0.2,99734531.28,62814.77,9992.27,7.32,4071542.59,34182.5,158.12,7358.0,30200302856.7,3914.36,249.94,6437875.79,1524278.26,7332.56,4028148.2,2026.02,401190.51,0.0,7334.72,303555.3,98649.08,993412.44,380661.77,0.98,5033.17,10153.3,8943753.26,15.33,45199.04,7404.64,151332881.64,18734829.38,4044314.61,1764997172.51,14750.13,3435080.25,18964581.38,973168.12,14775699.07,0.3,1129082.52,15.52,234690.9,2.52,4.09,2036.53,11521100.95,2343.15,1134363.86,2608.24,15860339.01,50.86,291334.07,5314610.83,542913037.2,3123715023.34,69041.84,915940.43,4066.55,314.43,8.6,6011335.96,78550569.88,228082749.67,250744.38,2.71287335077e+11,15.73,19998.79,596.47,3.92402919746e+12,1085.5,127186.77,135319771.24,67655.84,9802227.56,8842230.01,8.52,117942.1,6788.28,366.34,151337436.66,14570837431.3,2437.64,30073125.21,696652.64,1.0,658919.73,1156264.89,1970456.27,87.65,
40,-8.03055564305,786984.42,2297.7,36101471.78,117647.78,360007.01,12470338.7,469378.53,98473.77,277768097.58,9881149.54,15311134.12,960.68,6343116.4,1273012.88,871054.05,3402.17,4516343.37,60138021.73,12846292.96,1022.84,30039503.1,4436115.91,6823254.09,11135.9,69733.04,250419.99,78205.03,30039488.78,9.7,9.82,32678.39,995.5,2355163.63,1196726412.3,99075.14,4141.24,513292.1,0.82,689955613.04,1878233.29,15019756.44,204084.78,6691517.27,1009588.25,8462.25,34.4,3859535.95,298380.98,17727655.24,30039506.69,1095.7,3260966.88,505257.71,139542.43,11356.97,3520.28,123.45,2330293.46,0.07,2658.05,139.3,720164.78,11.49,1877801.61,60078978.43,336795.67,172573.35,3796696.75,38045.23,7749.99,633.7,6099.44,30041768.03,699.32,518446.04,68913.64,1434.71,34541554.79,1482509379.26,20044786.09,208396573.64,133.69,4233008.19,117072.5,234830.64,280303.1,2264293.42,7529.85,501.31,1328977.42,2598793.96,224.14,1016.05,7583511.79,1326.36,30135942.64,234680.15,30066032.79,4916288.11,371904.97,
60,-7.07067885003,4422756.03,20.51,124702.27,1878226.51,778.37,35692764.04,21949613.76,19557.82,1452865.17,2067347455.24,1940438.27,52095.81,5.2993335824e+13,76110968.75,168070.41,127787.29,232072.91,3385430.04,6966.81,3214343887.22,7399.85,133195.45,63844.56,226.99,1705484.17,1135730.46,3306.53,28903.1,2582685.69,13444460.13,2195092.05,11952.53,83407.87,3924236.19,16158072.4,2525.78,276.12,7511358.61,12096.59,1.66,221701.83,228330.65,7599.57,6393786.35,85.94,3786717.1,2258159.97,138395212.29,2041142.99,4689.61,0.43,596.15,1420858.14,1.24936437617e+11,2060273.29,60330.97,7365.91,474247.32,648335.97,35276.56,2052050.45,47167.93,1211793.18,2587.56,1130207.95,129119.54,1.59,64.88,49569.89,636280.51,2928349.38,2885888.5,5.16,1879.73,5114489.94,18914.18,281293.27,19898.24,578820306.36,6742958.46,370786.1,2457083.94,77491546.37,1139.18,274016.32,37131.41,8.2,35707900.87,18.15,308692220.52,17404.3,120562803.5,4728571.8,74015.36,494558.68,134662.03,20.83,6436187.2,1940.71,469473.08,
80,-5.82732914277,262.79,558391953.3,1037918.43,501065.35,951180.54,54331078.78,42292788.79,1136538.79,60078980.63,526086.89,962678.2,6460.4,4062320.45,60078994.96,3907702.41,27352.96,10733215.23,1452026.34,3540.92,995090.28,6499.95,2.01,3883.57,7309461395.47,0.27,58243.3,199932.22,552851.96,31555.84,243.37,8322386.11,292670.99,3995804.52,15689.82,38684.08,1929267.28,43533536.06,14148.89,140535867.31,4410.91,237523.36,15718.55,4514016.65,119544.8,9003887.16,7802613.12,14758.47,199048.55,35.46,176797.83,1578524.58,219.76,62081.72,15248112.81,7.26,106034934.36,35552.77,562179.43,7517050.04,23480.51,3235887774.97,4.59,77739.16,17858.27,260224934.24,7351.98,16.48,54202665.52,293186.54,331859.54,2261.59,30307796.38,59861.82,250222.86,10638765.84,158417.74,2205.23,18606938.23,1571.64,3151827.84,0.31,291586.51,27695507397.8,30149251.79,74896.29,833.49,9389.13,135467.93,1336262.59,0.96,60078980.63,1771.09,300364793.39,60078980.63,13721046.0,5863295.12,118892.96,4918063.37,6754478432.28,15754.2,
