image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,20821594.3398,33
40,-8.03055564305,-8455.06945268,33
60,-7.07067885003,4545.77934902,33
80,-5.82732914277,-66431.55598,31
,,,32.5
