image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-3.01508353174,1.0,
40,-8.03055564305,-8.03061825028,0.0,
60,-7.07067885003,-7.06516765576,0.0,
80,-5.82732914277,-5.85110957761,0.0,
overall average SDC = 0.25
