image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-3.00688659183,1.0,
40,-8.03055564305,-8.02504789804,0.0,
60,-7.07067885003,-7.10626868622,0.0,
80,-5.82732914277,-5.82142773979,0.0,
overall average SDC = 0.25
