image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,51.91,0.0,118.93,26.73,86.37,3.45,0.0,0.0,10.12,42.64,0.0,32.02,6.86,0.0,0.0,0.0,0.01,3.38,0.05,36.92,65.21,43.54,3.26,6.55,72.14,13.3,9.55,7.65,11.42,21.96,13.92,0.22,93.26,10.37,0.0,0.0,57.28,27.59,6.59,0.0,0.0,29.29,11.16,0.0,0.0,5.86,36.05,87.5,0.0,3.43,22.93,96.17,0.08,0.0,0.95,15.75,0.05,37.43,18.17,113.37,35.11,0.0,9.81,0.0,5.22,0.0,4.16,0.0,0.42,0.0,13.03,10.6,1.16,16.28,0.05,0.0,0.0,11.97,0.0,0.0,19.17,29.28,0.0,12.84,0.0,5.84,0.0,26.2,0.0,0.0,0.48,23.85,83.71,61.6,0.0,0.0,0.0,0.0,0.0,12.85,
40,-8.03055564305,0.01,0.01,32.68,2.66,0.01,24.56,27.85,0.01,0.01,7.96,65.49,40.76,101.67,0.01,0.14,13.3,0.13,16.31,0.01,15.86,101.78,0.01,7.04,0.01,7.29,100.91,110.77,7.53,0.01,58.49,0.01,0.03,23.87,22.59,76.89,72.97,12.86,5.09,40.13,0.01,6.56,0.01,13.44,9.65,55.64,0.01,65.72,0.68,5.7,0.01,80.89,56.21,11.64,28.14,8.61,6.63,0.06,0.01,52.53,62.21,0.01,0.01,9.14,30.93,75.45,0.01,14.09,10.86,0.01,65.33,0.01,25.68,5.43,0.01,0.66,0.01,29.6,20.53,0.01,36.72,0.01,28.0,25.09,0.01,0.01,0.01,29.61,0.01,11.24,37.76,5.64,73.12,0.01,0.01,44.65,2.88,2.82,11.88,0.01,0.01,
60,-7.07067885003,0.78,0.01,0.01,7.39,0.01,0.01,0.01,2.97,67.3,1.78,0.01,14.97,0.01,4.61,0.01,17.54,0.01,63.25,49.86,87.43,0.01,70.41,19.08,8.18,4.82,0.01,0.01,61.74,85.97,0.01,0.01,0.01,0.01,8.96,0.01,94.64,0.01,0.01,0.01,14.24,0.01,0.01,0.13,0.01,0.01,0.01,0.07,5.14,37.17,0.01,23.44,3.57,0.01,0.01,0.01,0.01,0.01,3.49,1.09,0.01,43.52,47.96,6.31,0.01,16.53,49.53,9.83,0.01,29.12,0.01,0.01,0.01,10.32,33.38,54.38,0.01,18.31,0.01,11.45,0.02,22.47,77.82,0.01,0.01,1.81,45.56,122.53,105.29,54.7,0.05,0.01,64.62,1.5,9.86,0.01,0.01,0.61,39.64,0.01,12.16,
80,-5.82732914277,10.77,13.77,0.01,17.73,50.98,85.71,0.01,14.96,0.01,0.01,0.01,0.01,49.11,0.01,2.83,0.22,0.01,6.7,0.01,12.95,37.32,14.6,22.19,10.93,7.26,12.79,0.01,0.01,112.96,28.2,116.93,0.01,3.53,36.52,93.35,87.7,0.01,17.63,66.01,0.01,0.01,0.01,114.95,0.01,2.38,6.57,18.71,0.01,0.01,41.45,18.74,0.01,0.01,0.81,10.38,3.58,0.01,32.45,0.01,0.01,4.84,0.01,0.01,0.01,100.34,0.01,0.09,0.01,25.46,9.88,0.01,0.01,2.24,23.86,29.44,34.08,56.43,22.0,0.02,31.84,30.32,0.0,0.01,35.7,10.48,121.45,48.86,0.01,3.91,6.89,58.6,0.01,0.01,0.0,89.3,0.01,17.08,0.01,9.53,10.07,
