image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,798.0,668169.59,19.32,596.6,644.52,2211388.16,14090.79,7.87,3715.52,1.05,345039.02,4946702.1,30039490.3,3685.17,0.0,6073.53,0.8,14861.49,0.0,141021.32,68.23,39302991.85,1171.8,0.06,25.92,5.09,1833.74,1.79,0.0,32724134.18,8017818.94,36130546.03,1833.47,2411.61,409.28,7481.37,4509891.61,734067.96,5756.94,64942.1,229.18,508257.63,24785.63,0.0,42254.83,18050717.27,6101.18,1.25,0.0,16.43,940116.67,3822892.83,17613.93,7764233.2,933143.37,0.0,4939.06,167.99,2518557.94,5175.86,125278.46,30162212.98,0.0,330.09,1.79,3523.68,29335.44,0.0,5560929431.53,917.93,0.01,0.0,16.71,322.82,332.16,4008912.48,4095.59,68063.9,7.09,4857.14,84.39,1801330.38,12581.55,78743032.28,7513642.94,12.05,438.84,2190.1,623282.43,476.48,4.47,313.91,70460.19,3860611.76,0.0,120643.92,0.15,96324.61,1407.37,9367346.33,
40,-8.03055564305,11.49,42010.81,232.48,10611.39,71.39,5219.86,29335.45,29.54,17270626.51,125.3,0.01,8931642.98,0.42,0.01,17627.68,263529.45,0.01,119.55,0.65,876.19,19.96,63044.16,0.33,7721214.19,52817.01,0.01,1214069.62,59.82,572870.26,118517.27,2928278.27,241288.95,0.21,0.01,384.5,13.47,27985.95,0.43,0.01,403.41,48.95,0.01,0.44,235612.41,25.93,804659.33,52.1,6265.45,1021.14,19786632.85,16.88,2249.73,7.36,119366.86,851.46,17421.15,0.01,8901938.76,30083.85,28.66,30161.46,0.32,8.02,7.4,140943.14,0.01,27452.86,0.01,16.07,24.8,4.73,26.16,3557629.88,37469746.86,52.53,10902831.82,0.01,6.2,0.01,497012.83,65.79,9147.85,3754936.23,16.07,0.62,294041.41,7333.87,0.01,0.01,2211398.85,19254.83,30040459.23,75418548.3,0.01,0.01,15798.7,3260966.88,14269285.63,231117.83,0.01,
60,-7.07067885003,14667.73,0.27,1.6,300.85,246.63,31.6,75246.32,1830.33,82.13,28.53,557285.31,0.1,2254982.52,0.01,29335.45,0.01,4351.4,2685.22,481.38,17649.74,2.12,2.32,1.07,98991128.55,13348854.77,3802560.73,0.85,7.17,155253.76,0.61,9025851.69,4783.78,0.01,30040162.78,28.01,0.51,2258158.4,1661.96,1845.17,735407.54,634928.01,117341.76,62766.07,9025364.67,9003404.99,7389.46,225.1,10.63,130332.36,146469.06,39903276.71,16042.0,994723.98,10.53,15743.47,14.33,0.01,0.01,66621154.55,413408.21,1651.64,59165.23,36.05,88.36,1922.32,984.83,3790375.98,335.44,1145158.57,0.01,0.34,6675245.78,5.97,58830.8,1.78,0.45,31420.22,28.97,124460.32,2.84,1857.77,42.58,311.02,482574.47,21.82,30039489.74,915.58,0.04,2911.83,9768030.59,117361.14,4.97,1096018.89,4076833.83,0.06,2213.35,5975131.64,0.01,6045239.11,31106.22,
80,-5.82732914277,40939.42,3442.31,250.48,0.19,6.43,0.29,4917710.19,31616.8,8827904.98,15019744.37,22866.73,2762.35,0.01,23611020.03,13.32,69836015.0,37953.96,4130.25,453694.47,1985.8,995.15,17787823.44,5219.81,0.01,0.01,0.13,3845631.84,217.97,30055609.91,74.22,9856102.81,1929.31,0.06,30.82,1017528.16,0.51,0.01,15021681.68,82599.67,0.01,0.01,37430.46,72468.08,1609903.65,4802901.54,3.4,0.01,4437628705.86,50215.02,8.53,0.11,18856823.03,1612152.04,3.71,313124924.25,7511629.34,1128056.87,35592165.55,34.93,1161.72,9.29,1116320.75,4160.12,0.21,3.78,11785.46,1006776691.65,2258158.5,938734.04,1885297.92,6808534.93,837782.7,1128227.86,124585.65,117765.78,0.5,2006.47,0.01,1515734401.87,2.42,783.18,12.87,3196937.3,191267111.8,1023.11,3816.07,9.29,30418.75,29335.44,485.96,560304.78,1129791.98,3751.02,20140.95,0.2,4.46,0.01,0.29,4017973.08,15428.77,
