image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.73967855221,0.0,
40,-8.03055564305,-7.65506189532,0.0,
60,-7.07067885003,-6.86126895545,0.0,
80,-5.82732914277,-5.58241478937,0.0,
