image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,13144.56,6.4,4269.26,18251.89,3.96,6.4,7352.23,18698412559.0,34657.53,91.7,3673.33,0.14,70567.83,938734.14,0.35,21121173.03,1.36,4.52,6.4,262074.34,756.27,12172877.14,626272.11,0.58,20.97,209918.42,2.72185468881e+11,3.2,16035644.4,4462046.0,5.54,522.91,41402006.12,371.12,17669.4,9312612148.28,7864.83,15190.26,296.71,469367.06,22814.6,3829110.27,74834.93,63447.14,0.07,282237.81,60079012.17,18682.95,7812481.61,1622504.26,58809.36,236603.9,1146.47,0.02,1359.17,2009221.34,123781455.35,3814555.8,1278.56,1544.33,982.65,6052650972.76,30.35,132.3,7461866.86,54.97,117384.23,35.08,1877474.4,1272107020.69,7893.53,5268.6,33131969.12,35805562.08,6.65,0.0,5290.9,0.01,50713257.84,587956910.54,39837941.06,48492.75,0.98,644983348.46,3713.17,7876.73,7931698.02,116.52,205973038.88,8059.29,140.42,24456939.18,1321324.52,21832.76,3222.74,329047.4,769091157.64,3792886.8,6.4,0.01,
40,-8.03055564305,173660.79,119031.61,2.97,71.77,16848992.24,62005155.11,203.76,208500.17,7.38,11.49,485.15,290967.89,3754936.23,3016.85,241287.97,171.16,7443123.75,2315.98,654436.5,9545999.66,3903.5,2254.61,225065.99,258212.66,16894.72,101282.87,67460.39,121844.1,395479.42,2235.16,17572847.42,2036.17,30039488.78,659758658.53,647673.26,180514.09,133754999.95,205417579.85,2.16,63987159.36,117380.85,7509872.44,12.49,95619163.72,35.23,979.79,60078978.43,15143.39,437.21,6633875.87,1034.22,182.05,10068.81,22669.72,123952322.33,202838.81,2307.31,122411.06,8181883.0,141748.92,1833.02,19859774.49,19216.33,18.87,1061284330.09,17566486311.4,822.49,34411375.2,1772629.56,843.22,2221044.06,1877580.71,579087.07,2753.21,17270664.11,29666.17,1328752.94,18785.13,9040415.44,219.25,17739.32,1886249.1,50.78,0.24,4396817.27,0.94,105440.03,4651941.05,3802.13,2726.23,114.6,12317617.65,4.16,0.01,0.93,23102.23,60079073.27,24.05,584945.85,60.94,
60,-7.07067885003,527207.82,10.53,1844.0,1880867.22,0.01,174581164.16,2120.38,540956147.15,234683.52,89201.23,13204455.98,77485.39,10.53,9264.12,12934.89,723406191.82,5.87,2518.5,2981.07,697605.3,694466.9,139.54,10.53,14.81,0.01,9570.51,35949653.25,540181121.28,23318.3,470.48,2294.87,3536.27,2.35,15153999.49,7354.23,126943.39,2.65,19644939.37,469910.03,315162.79,120211895.5,36.31,363370.15,21822.13,17111228.69,1877537.58,469752.56,16.83,30178872.47,29.63,231.27,2334167.07,29838.57,162289643.64,2156.25,21.78,948134.46,12607.09,4298.36,1249414.13,233.13,121106096.41,237193.9,373.34,7.52,17903516.7,192632.28,2341.31,6506.47,257201.45,1349158.62,54093.84,63992.95,1881156.61,0.01,6.4,146554.02,0.62,1.07,1042.24,1000194.16,4160.23,15330832.17,0.08,351429414.8,938758.31,1896333.73,5459244.02,8287.77,2892127.88,1916106.81,93299.67,1570.91,1117186805.94,15170431.03,0.78,0.01,4801.24,846783.97,23.63,
80,-5.82732914277,30039490.98,14946.08,2958.84,2146.1,1877498.53,315.88,14194.08,1082628.92,29237.43,57163.54,8406662.81,7414.54,72805595.29,4870.07,943414.95,1284243.17,14.27,40716.56,5346316.2,19839610.37,398318.9,7909086.57,6924.64,5751171120.5,803595.47,149.97,3199.13,193370.65,819.46,27450208122.9,6.05,0.34,2591.42,358679.23,0.0,234692.81,94848.49,1305.14,61.19,20028.28,236640.91,66.09,424314.11,181087588.18,6.75,354676.62,94564.84,499958267.95,26012412.36,9.29,2453.98,4569133.86,1549.45,22.3,1701.95,6394896.98,1163392.38,9.29,748.86,0.53,371123.81,11.34,69904.51,66.58,104.72,85346.92,4986.3,17064171918.4,55.25,9.72,1148506.65,16001822.68,29.47,2379069969.42,926.02,68054997.18,15305318.19,1030.54,523.39,2126.1,17.11,9.29,4687663.15,5413.26,121419963.93,8568498.32,3328.68,435069749.33,356.17,4461598.17,2060282.14,2.72083938929e+11,35206.45,11909397.34,760.8,9.29,3259844.06,107064.93,124073761.2,1137.05,
