image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,20.87,25.35,24.32,9.14,8.11,6.24,11.49,0.54,3.27,21.21,16.72,22.04,11.22,13.53,5.83,9.87,0.09,40.58,17.54,10.06,0.1,0.0,16.02,0.0,9.21,31.76,8.24,27.09,7.46,7.73,36.92,18.47,32.62,6.19,2.84,1.64,0.0,0.63,8.5,13.32,18.83,32.71,11.4,8.53,22.69,7.5,27.54,0.0,27.06,0.35,26.94,4.53,0.0,4.23,38.53,31.39,0.0,19.68,18.2,28.19,2.21,3.82,0.0,3.75,11.21,6.33,0.0,8.53,1.0,0.0,4.6,0.08,5.57,23.22,18.9,11.3,4.96,1.82,7.32,2.81,4.84,3.88,6.18,2.01,22.4,22.94,22.25,37.41,0.0,11.23,12.31,43.86,8.43,33.56,5.09,13.91,10.12,11.32,1.93,0.02,
40,-8.03055564305,4.23,36.86,33.2,16.42,3.07,5.85,25.32,16.61,0.01,1.31,8.45,9.47,22.33,1.23,1.52,14.81,7.79,28.01,25.29,21.08,8.14,14.63,16.36,19.78,25.39,4.91,1.21,9.49,10.99,27.13,0.01,12.76,6.71,2.1,3.01,34.68,30.46,9.15,12.47,4.21,15.3,22.2,0.01,3.52,1.09,19.48,18.55,5.5,22.16,7.41,0.86,4.37,13.9,0.01,24.81,8.66,26.23,19.06,14.39,30.03,10.26,3.61,8.47,13.57,17.55,21.17,18.96,25.16,12.54,4.22,3.47,14.41,10.68,37.04,13.85,7.47,1.89,21.93,13.88,22.83,14.56,0.01,6.61,16.91,0.01,0.6,0.01,6.81,22.94,32.55,2.69,0.01,4.91,8.82,0.25,3.63,0.01,32.44,0.65,25.09,
60,-7.07067885003,4.49,16.01,0.01,1.42,14.16,0.01,0.25,22.53,12.82,33.23,3.33,0.01,0.01,0.01,13.03,0.01,6.74,7.44,20.77,6.59,0.01,0.39,25.81,16.42,11.44,24.26,4.33,12.31,0.37,2.69,0.48,21.33,10.67,1.07,21.47,33.38,14.22,7.6,0.28,16.87,0.3,24.31,24.32,2.69,15.63,28.01,12.6,3.55,28.1,0.01,14.09,12.72,0.03,6.77,16.69,49.37,10.19,1.54,6.24,5.82,20.28,0.01,8.29,11.7,32.29,30.61,2.93,13.71,13.43,9.44,17.97,0.01,11.71,19.2,7.78,0.77,17.86,34.22,18.51,27.98,30.06,0.08,0.85,4.13,7.17,1.07,22.22,8.65,0.22,3.33,21.61,17.69,0.01,6.67,5.82,1.64,0.01,12.76,0.01,5.7,
80,-5.82732914277,43.07,5.33,4.03,17.7,15.39,13.76,0.01,6.11,21.08,0.01,11.3,9.12,0.01,10.62,23.84,1.39,12.42,13.53,9.51,0.01,10.26,3.96,6.83,1.08,16.92,14.54,0.39,16.49,1.35,20.47,8.81,6.8,4.27,19.93,8.75,4.13,17.87,10.35,5.38,15.23,5.93,8.36,22.21,9.07,24.87,6.7,5.97,0.0,37.64,0.43,2.8,4.25,34.31,15.21,0.01,6.07,17.14,7.99,2.44,7.28,19.11,0.01,0.01,1.3,0.01,18.19,10.38,19.06,4.75,0.01,5.01,0.01,12.07,0.01,13.61,28.41,27.12,23.51,1.29,0.94,4.24,0.24,0.01,33.93,7.64,5.49,9.93,0.01,1.02,10.82,21.81,17.43,8.15,0.03,8.73,0.26,7.79,10.26,17.66,17.67,
