image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,9.54,57.25,64.53,0.34,0.97,73.69,0.38,44.8,4.6,1.67,27.21,84.29,0.02,0.0,87.74,111.23,116.89,27.28,107.74,0.38,20.09,7.49,11.9,83.56,47.78,102.88,7.43,0.06,52.44,0.0,16.17,0.01,0.01,102.92,2.74,35.67,50.31,4.86,20.67,8.0,1.64,92.94,32.43,91.77,93.1,82.73,82.64,23.72,9.28,2.97,66.53,20.69,54.16,97.7,1.61,23.86,0.15,23.13,86.88,0.22,7.82,81.93,6.99,0.09,67.78,25.12,38.92,1.25,16.77,6.18,0.35,84.55,5.57,16.25,0.08,0.0,0.3,0.0,17.06,12.51,5.44,9.24,0.22,0.34,10.99,83.52,26.69,2.33,0.69,52.61,15.59,1.31,42.69,54.06,44.3,83.08,46.54,103.94,4.7,20.24,
40,-8.03055564305,2.05,11.25,0.84,121.53,1.87,29.97,19.26,1.81,62.75,53.3,10.37,1.85,25.68,0.07,17.96,18.06,0.2,58.47,2.39,0.62,28.18,0.14,37.03,93.41,115.26,62.05,39.73,33.14,33.59,0.76,114.3,0.04,0.83,10.63,33.55,89.17,24.81,0.01,115.49,52.02,12.27,8.34,9.94,1.81,77.58,1.92,49.62,113.66,1.86,49.12,14.55,7.27,40.26,36.64,0.01,9.13,79.03,12.57,103.09,42.13,36.02,22.86,110.19,39.63,10.01,3.52,92.09,121.62,3.83,5.99,22.88,18.54,108.95,70.03,109.18,12.54,21.94,13.31,32.36,0.23,69.81,35.83,64.96,79.64,1.32,21.07,82.53,12.66,2.22,10.99,30.7,0.01,17.91,33.1,14.33,9.17,7.58,0.17,0.79,0.01,
60,-7.07067885003,1.53,0.01,62.98,0.16,95.79,30.39,2.21,11.93,23.89,73.74,19.49,54.02,7.78,0.24,11.99,0.49,39.18,2.21,10.71,120.33,0.01,121.26,54.65,107.78,38.13,21.24,6.12,113.81,20.95,11.25,36.6,56.28,44.98,24.53,0.16,2.82,11.46,3.89,20.38,62.31,9.17,92.95,13.59,26.45,10.63,2.06,80.0,9.76,95.94,23.31,22.43,108.25,8.56,0.13,14.05,75.43,0.44,19.17,3.53,106.45,92.48,40.65,35.4,33.89,7.7,0.69,2.1,5.52,26.24,2.27,0.39,11.66,117.83,6.16,4.89,36.73,101.24,0.97,26.29,9.11,11.04,18.59,2.21,7.73,110.49,21.92,4.42,1.92,24.38,0.01,19.1,1.79,16.14,62.64,5.82,116.5,114.21,10.52,1.65,74.87,
80,-5.82732914277,0.06,103.85,14.96,1.34,84.45,0.45,19.88,66.75,2.72,13.64,29.5,0.01,26.5,9.25,36.18,109.37,98.25,0.05,0.7,76.91,15.8,12.16,11.01,73.24,16.08,3.06,0.04,5.26,0.32,7.61,77.34,0.01,1.96,16.2,32.29,28.28,2.25,0.08,9.73,113.18,3.59,52.47,5.03,13.93,91.08,12.21,20.93,111.73,42.39,53.23,79.32,5.08,2.11,9.58,26.05,0.3,2.19,13.18,100.83,16.1,1.78,98.09,40.9,115.18,8.1,4.97,14.88,73.16,8.87,35.46,109.12,2.47,54.59,10.36,6.04,53.78,98.01,10.39,48.33,21.63,1.14,19.36,16.78,0.01,82.37,109.33,8.75,2.61,20.76,5.25,12.04,32.16,0.13,7.71,21.77,75.37,80.75,3.7,11.41,99.08,
