image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,6414.7,815241.92,1186474.6,125679.35,2019.35,0.0,4773013.97,28.93,162864.96,6.4,262.44,119.62,1422.99,21834.81,1652806.68,3317.27,10783583.8,617.25,9539.0,1016.8,70567.69,395.65,4.84,0.34,532.92,1002227.49,2932.17,4008902.19,2460286.39,68086.04,9.29,6342980.5,18307730.52,1982558.83,32069.6,5.16,438.26,650144.42,7997255.13,8825.95,56.76,26630.89,8534045.86,274132.21,1052.6,17691034.56,18065338.94,7764012.07,1193811.64,9433449.54,147665.36,138410.21,6278.47,95290.71,36130295.36,86646.52,749.57,91.76,0.0,482575.58,405194.88,0.01,9701.02,4047.28,30884853.71,1.76,20591.82,297.81,485.56,14484.56,3770.12,192.0,4516309.18,5341.91,222276.66,0.0,0.08,1129015.82,194.89,1797.34,0.14,0.02,72580.36,82922.08,0.09,0.06,6.4,634.19,619.35,15177418.58,14.1,1378.28,4.03,115021.34,15043897.93,617.44,60322.64,580058.58,821.3,53.24,
40,-8.03055564305,58.25,0.01,31.09,2093.93,10091.57,24.06,0.04,3609.39,14648475.31,29724.16,624701.62,0.01,10409.4,2928045.95,11.49,4008898.43,42762999.55,0.09,8104.01,39435321.55,401.31,10365.35,154436.77,6.9,7636.68,0.18,60315.81,207.65,2360.2,0.01,16566.39,172.68,223952.4,2633.19,118517.27,159.73,5.09,4030598.31,981046.96,11.49,1.19,2.79,75490.95,0.01,0.08,14.34,0.05,0.31,1902342.33,546.14,1930296.85,0.27,26.46,223798.08,730.79,6.2,1037.18,57.37,747.15,482.32,485.86,1145136.81,3165.36,0.24,1221.96,0.01,0.01,76.68,14316.96,224887.91,109.04,0.24,148.72,11.49,1098434.2,1241.98,8.4,7.56,747781.46,742641.51,0.82,58.92,1129079.33,4406.73,4929240.04,16921.28,2718.07,4.62,717.24,4349.95,41286.57,324167.49,1242.9,25164.78,31.45,23630.83,0.01,613620.54,211346.7,37469635.85,
60,-7.07067885003,308077.5,0.01,9025141.76,7365.8,46150.4,147.83,14930168.15,1142264.57,126.6,12084.4,18239.41,2672698.52,10784.29,69.69,2521.22,38102.68,1113.15,0.41,1143.47,744.07,0.2,39433909.68,11.3,2660135.97,0.73,70510.71,62414.72,18.5,317371.3,0.1,29473.97,0.01,299.42,17.41,705137.29,128618.81,15305.52,797.19,0.01,102.23,283517.21,8.13,303944.97,10.03,7006.1,1980.58,49.87,0.01,10690666.32,10.53,20518.05,3787783.79,43.7,0.73,542132.91,4816.7,130293.03,1294367.74,35212.22,13654877.98,4512671.64,241.72,1648.49,28233.15,18772.78,16720.28,459947.99,414608.41,1008682.44,1.52,402367.07,452441.29,67356.62,2161.34,2303452.51,2394.8,371766.68,104.57,675538.26,250556.89,1.11,9.48,29582.92,16895.59,6708758.89,47281.11,1584.26,45482.55,4894.64,1018257.55,17.91,21.15,32132830.44,900510.46,161.28,241765.82,57015.56,78.8,4.94,129524.82,
80,-5.82732914277,11658030.01,32567.59,4512683.18,0.07,1585795.44,6608188.6,1851.84,482348.71,0.18,1170857.5,1583.3,36142920.32,4406.88,278767.4,1382183.46,2184.86,0.01,16114.94,845894.03,2230679.12,161.26,18847.41,45484.49,14.1,0.0,581690.93,823579.05,250.13,0.04,3.27,0.5,0.02,18303.6,167615.24,95108.4,102158.05,25826.32,53674.73,274.8,123454.9,139.25,10184.18,0.27,799.05,9.06,4969937.09,9080287.52,518724.27,1.99,75.21,547.15,9.91,38509.68,36.52,571.54,1040749.53,653047.38,20535.84,38728.85,5907172.94,2.06,0.01,61818.02,926.67,6727.35,8052434.34,0.64,20566.12,2178.53,8717.2,47052.43,2672544.86,1488.68,415.9,9.29,25100.89,10.53,34097.14,5384.44,110114.56,1697214.92,9361368.08,7.18,251.13,6588.79,217271.86,6289.18,9.29,287.46,118509.43,25253.93,0.16,948332.99,16047.41,4029492.2,0.01,65.81,7721237.88,2.25,2.14,
