image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-941.376966829,29.0,
40,-8.03055564305,33585.2882648,24.0,
60,-7.07067885003,30846.9942047,20.0,
80,-5.82732914277,16905.4314679,25.0,
