image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-875396994.224,89
40,-8.03055564305,158236639400,93
60,-7.07067885003,64232817520.4,95
80,-5.82732914277,-9610216296.46,92
,,,92.25
