image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,39015.78,82.45,35179.52,7878.09,13013.9,4961239.11,6.4,3843.75,6.4,68997.51,1658.38,1838074.93,1609.97,12290820.01,2239762.5,5345222.44,475592.15,130491.37,1983.76,1994140.86,9.54,0.34,0.92,8008304.26,29700.64,15.27,5738.84,18307710.83,319623.64,208976.91,16716.83,2439542.86,10665648.1,1650.8,904.73,906712.34,1.21,8728.73,982.96,8366.86,10332.74,10320336.29,11.07,292425.86,10552672.46,4165.02,350.65,834.95,2366.9,433436.28,0.87,0.04,275506.84,23639.42,241289.74,431.1,431478.1,20870.7,666.03,0.62,194.4,0.22,123357.85,7585103.31,3770.12,7210226.43,109277.85,1128980.57,7876.38,9.32,1300010.89,81.22,18885.31,43116.76,3.44,1290633.9,634.85,470488.8,0.22,985429.13,113289.11,0.12,4716.7,11753.13,1088.12,17690993.38,78786.67,37408410.22,6.8,277523.91,561346.64,2588785.11,17555.8,59655.13,552345.55,25682.63,625659.82,16114888.05,9304228.76,499627.5,
40,-8.03055564305,645060.14,43434.64,30437540.47,18.02,156310.61,8084108.65,54.54,17636.38,8017816.53,3355866.38,9645.65,6273.53,17622.35,9293.02,9635.43,4.07,1075056.24,148.02,278361.56,47567.12,4.25,1899805.2,24.38,26208.56,194.36,11.49,0.25,26.88,71.95,2258153.1,11.49,64665.19,1946337.83,0.01,299895.62,8957933.69,815.63,297.13,33634.14,1116265.5,12.33,0.04,11.64,227.5,7625472.94,49.21,7544.22,118467.66,359279.85,8.39,15018.49,716.79,1826366.17,978733.19,38804.83,19298.08,7435.77,4929240.04,4557819.75,36.29,4.62,717.24,30908.88,212330.09,104475.83,166.41,250556.15,23630.82,90.89,63077.44,401.74,13590636.76,42763021.03,918248.1,178.54,7673294.33,10373382.11,138.78,215415.25,545905.71,43460.51,1244108.27,34722.58,9335958.76,7812353.87,14964.3,1142.44,10.3,56296.01,58208.25,263.94,0.01,841.43,1669.27,16932.32,492.99,73173.61,1.83,501133.31,2056221.11,
60,-7.07067885003,128618.81,15305.52,11.84,14169.95,35054.22,1510.87,20.38,50264.89,2481661.37,689.02,35283.71,10690778.23,4531340.93,16039514.9,2543917.3,10.53,38005536.64,26471.26,24038.14,2257539.75,1923021.92,119555.41,632.68,0.01,4108949.46,4926.44,3350.23,544.64,315499.61,9611.3,1.56,2.49,6634817.34,2545361.56,7883.35,37465853.37,16035651.01,383449.28,8748908.95,82.0,563566.81,631.35,29289602.58,549.92,3404.5,2288.34,2440.05,30989013.3,33210.2,490486.98,756189.33,161.32,28422.47,1956249.67,78466.14,9.14,19287.01,3792069.33,7402.77,5.57,2214.41,1576614.03,30884212.16,9802.61,32071280.44,1612206.3,0.01,9236.0,69353.87,5692.66,592455.89,94.25,0.01,118327.91,22060.85,8.32,1191.99,9057375.82,2956.63,504673.5,0.19,450445.2,11506.46,18.4,2011.99,4806710.0,5293052.06,45073.49,23997.06,1229441.85,1068513.6,120.3,15927.71,4006889.12,16.5,4972428.01,4316.56,3.92,1.89,0.8,
80,-5.82732914277,116486.73,222.78,58013.72,205532.54,5425744.71,9895783.72,27.9,140082.47,568.11,1050.46,38266.06,18949.84,35026.28,18464.03,140329.28,180115.82,18.64,42758986.64,7392.37,414.54,331471.84,544.05,110.07,200855.68,513.59,15449133.26,2019784.54,18967.12,2383.28,15659.85,21553.22,9651433.33,601952.66,201282.81,499829.74,176327.05,1034.7,0.0,14308.21,245404.41,1.14,66850.92,11047.02,15206.82,4321620.12,0.17,6500057.58,748.67,50.99,190232.08,29.14,17685.81,35964656.15,1149072.57,2.72,3233.13,13617489.25,474245.1,114.88,74309.09,1.73,7979475.34,15260.9,522.98,9.29,12751.51,187717.22,30340408.42,2507.99,8379.61,19.04,30651.58,3884.6,23633.47,122441.24,0.03,59912.71,56100.41,55.43,127573.78,167040.36,124958.56,7585825.57,545.6,5267792.33,440801.9,10704.67,43.42,27276.29,379769.68,35.47,160205.54,53.77,21723.84,32125.12,12457.74,273394.58,1551.96,144.56,102067.58,
