image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-10696.5909351,13.0,
40,-8.03055564305,498.267027775,14.0,
60,-7.07067885003,-20829.7506891,16.0,
80,-5.82732914277,18120.7272718,21.0,
overall average SDC = 16.0
