image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,26.57,1.7,15.04,8.32,0.0,11.63,0.0,16.71,1.51,0.0,23.5,38.31,9.38,9.47,0.21,50.75,0.0,4.37,0.0,1.11,6.13,0.0,0.52,0.0,0.0,13.81,2.37,47.82,0.0,0.23,0.13,43.17,0.0,0.0,0.0,0.0,4.52,8.58,28.44,9.15,58.07,0.0,0.0,58.67,0.0,7.49,0.0,0.0,23.87,28.72,2.94,0.0,0.0,0.0,0.0,0.0,7.94,0.0,0.0,0.0,1.61,17.02,48.56,7.55,0.0,15.3,13.19,7.33,34.25,17.29,0.0,0.0,0.04,25.99,35.64,16.9,33.17,0.0,0.0,17.32,7.04,37.75,14.61,35.55,26.87,0.0,0.0,29.88,9.71,0.0,7.34,12.31,0.0,15.67,0.0,11.13,0.0,7.02,0.0,
40,-8.03055564305,25.97,63.18,0.01,0.01,0.01,0.24,58.51,0.01,26.94,8.87,1.7,6.89,0.01,47.28,0.01,7.23,0.01,8.24,36.41,0.01,2.23,0.01,17.38,34.39,11.56,15.5,4.89,0.95,19.8,6.56,2.29,50.0,0.01,0.01,0.01,0.01,0.01,17.81,2.67,17.07,57.09,0.01,0.01,0.01,27.55,0.01,3.88,0.07,6.51,0.99,7.87,0.01,28.41,3.57,0.01,0.01,8.86,0.01,0.01,5.15,36.85,28.71,0.01,3.49,0.01,41.42,10.62,11.95,13.67,19.74,5.82,15.05,0.01,0.01,14.89,0.01,0.01,0.01,10.58,0.0,0.01,12.42,0.01,8.22,0.01,2.78,0.01,22.2,0.01,5.18,0.01,0.15,0.01,15.46,0.01,18.56,0.01,6.7,0.15,6.87,
60,-7.07067885003,0.01,24.77,0.01,36.4,0.02,0.01,0.01,17.84,31.67,41.62,5.13,5.93,14.32,0.01,3.24,27.97,7.34,12.82,33.44,0.0,21.68,0.01,20.78,8.07,0.01,4.8,0.01,50.78,6.94,0.01,0.4,6.98,14.88,17.09,0.01,5.99,9.49,0.01,0.01,0.01,41.25,0.01,4.6,14.68,0.01,58.39,0.01,0.01,0.01,3.89,24.43,27.9,0.01,14.13,0.01,12.82,0.01,16.63,43.17,17.09,7.56,5.68,3.0,12.74,9.14,0.01,51.15,0.01,4.52,8.52,5.39,13.25,6.57,0.01,0.01,10.7,28.94,0.01,0.01,0.01,0.23,16.31,0.01,1.38,0.01,13.09,24.18,26.47,25.0,31.92,22.2,0.01,1.65,0.01,0.01,0.01,7.29,13.39,19.83,0.02,
80,-5.82732914277,0.01,0.08,0.58,23.92,7.43,0.0,0.01,5.53,51.06,0.15,32.74,0.01,15.84,0.01,0.01,0.01,17.32,0.01,18.43,13.63,0.01,0.01,0.01,24.07,38.88,3.6,0.01,0.01,23.41,0.01,0.01,4.6,0.0,0.01,0.01,0.01,40.15,0.01,21.44,0.02,0.01,0.01,16.49,0.01,28.28,58.78,0.28,0.24,0.01,0.01,17.37,0.01,0.01,16.67,1.34,18.78,27.15,0.07,6.6,30.42,8.52,0.01,1.47,50.99,0.01,0.01,44.35,0.01,0.01,0.09,47.06,32.61,0.78,18.82,2.34,9.15,53.92,0.01,48.21,0.01,20.17,21.88,12.56,0.01,49.65,0.01,6.91,0.01,0.01,40.89,0.08,0.96,9.79,0.01,15.04,0.01,0.01,0.01,24.14,0.01,
