image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-129.999712721,16
40,-8.03055564305,2472.22735146,15
60,-7.07067885003,356.972026991,12
80,-5.82732914277,-4569.42486505,17
,,,15
