image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-5854952.51493,81
40,-8.03055564305,-2696765.60883,76
60,-7.07067885003,-5910403.8341,86
80,-5.82732914277,-4593185.13076,81
,,,81
