image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,8.91526536757,50
40,-8.03055564305,11.8617016818,63
60,-7.07067885003,9.31024831945,60
80,-5.82732914277,14.1794359449,53
,,,56.5
