image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,18.9921936659,76.0,
40,-8.03055564305,18.3247230876,71.0,
60,-7.07067885003,16.5266338064,74.0,
80,-5.82732914277,11.6802492733,67.0,
overall average SDC = 72.0
