image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,41423.15,10.08,0.0,0.0,0.09,0.0,0.0,0.0,8.04,0.0,0.0,299.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327310.65,19.81,0.0,0.0,89349.19,0.0,0.0,0.0,0.0,0.0,2023.64,0.0,0.0,0.0,0.0,21.33,6.55,5.93,0.0,0.0,0.0,0.0,0.0,94.07,0.0,0.0,15.49,0.0,0.0,0.0,0.16,0.0,0.24,0.0,0.0,680.15,0.0,0.0,0.0,6.4,0.0,0.0,752.54,0.0,0.0,0.0,0.0,40068.13,0.09,0.0,11.09,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,123304.77,5441.22,0.0,0.0,0.0,0.0,0.0,0.0,20.63,0.0,0.0,0.0,0.0,
40,-8.03055564305,0.01,0.01,57.76,0.04,0.01,2807.25,0.59,0.01,0.01,0.01,4.11,0.01,0.01,2.51,0.01,0.01,76431.14,122.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,86.87,0.01,0.01,0.01,0.01,0.01,0.11,6.7,4.32,0.01,0.01,0.01,517.55,21005.4,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,538827.89,0.01,0.01,976169.6,0.01,0.01,0.01,2419.48,5.04,139.01,0.01,0.01,1294.11,111.69,67.31,0.01,32.9,0.01,0.01,4.1,0.01,0.01,2.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,529880.8,0.01,235.22,0.01,33.66,0.01,0.01,0.09,2628.7,0.01,
60,-7.07067885003,0.01,0.01,17.93,0.01,0.01,0.01,4429.94,158.27,55.85,7.81,0.01,0.01,0.01,0.01,4619.45,13.76,0.01,0.01,3.89,0.01,0.01,0.01,1734.58,0.87,737.07,7.69,251744.68,0.01,0.01,0.01,1.23,0.01,14893.28,0.01,0.01,0.01,0.01,1.48,0.01,35.54,0.01,167007.62,522.52,0.01,0.01,0.01,294920650.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,28.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,30.74,0.01,0.01,0.01,0.01,0.01,141.96,0.01,0.01,0.01,0.01,0.01,9.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,28398.12,0.01,0.01,0.01,15.72,0.01,0.01,
80,-5.82732914277,0.01,0.45,223.97,0.01,0.01,0.01,0.01,0.01,17808.37,0.01,0.01,0.01,0.01,0.01,0.01,23022.96,1.55,0.01,159.03,142616.49,0.01,0.01,0.01,511873.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,231844.52,50818.53,0.01,56.86,0.01,0.01,11.42,0.01,0.01,0.01,0.01,214092.43,0.01,0.01,2063.67,0.01,0.01,0.01,13.66,0.01,365.13,120.13,56104.56,0.01,0.01,0.01,116.51,0.01,0.01,0.01,9262.44,0.01,0.01,0.33,0.01,0.01,0.01,437.11,0.01,0.01,0.01,0.01,0.01,0.01,8.79,0.01,19069.52,37.25,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,121.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
