image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,5184.89,363.75,2.5,1.25,12.56,2.45,0.0,16.03,0.05,127413.79,0.18,0.0,2526.92,1.47,0.54,1.8,322.56,921.59,0.32,645.11,2068.54,10.63,8.71,0.0,1.6,0.0,0.78,0.74,0.0,6.4,0.17,21.41,0.05,19.98,1690.24,9555.41,160098.01,805.26,0.0,0.02,0.0,6.87,0.0,21.82,0.07,127.71,4.94,0.0,0.47,2.45,6.4,0.0,720.94,293848.82,1392952.58,48162.3,39.13,0.73,1153.55,0.0,2449.81,617.23,11175.4,94.07,402.63,0.0,29266.4,11.76,0.0,3853.27,24294.36,7681439349.94,331.29,632.59,48100165.65,2.52,1.47,20.99,0.0,91.54,0.0,164116.36,0.0,167926.23,94.96,30826.19,5.64,1.18,335.08,0.0,298.67,0.05,215187.16,0.0,6.4,0.0,0.11,1290.22,206147.27,
40,-8.03055564305,139.01,33676.75,0.03,490993.19,4.1,11.03,0.07,0.01,0.01,11.49,0.01,172238367.43,3.56,0.01,0.01,0.01,0.01,0.01,121147.03,0.01,294.69,0.01,238.56,5149182.92,946.47,0.01,0.01,538.42,946.47,10.96,0.01,0.01,2.26,0.01,7.21,606.17,22403.17,0.08,0.01,8.29,8419.2,0.01,74089.44,0.08,48776.25,0.01,19.2,22124.26,34287.78,0.15,0.01,11.49,0.01,231912.46,0.01,0.01,134.01,0.01,0.07,20.97,94312.26,0.02,11789.11,11.49,60.11,11.19,484588.15,1.86,0.49,0.01,25.12,0.01,103701.79,0.01,0.01,16395.89,6.76,7.21,328.2,30.06,2.2,11.49,1727.95,0.01,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,11.61,0.01,5706.72,0.01,0.02,61010.62,3.02,28.53,
60,-7.07067885003,33901.95,0.01,211.29,0.01,79.13,280.79,0.01,0.01,788811.22,141.87,19728.85,3.87,1664.27,6.82,291.64,3.94,3.3,133830.75,346.02,0.99,0.87,31935.67,1.51,50.28,7103.71,0.01,0.01,0.32,0.73,206001.13,15044.06,0.01,0.01,10.53,0.01,0.01,296296980.68,0.79,0.0,0.01,797227.89,3972.99,58168.15,2034167.45,1891.13,0.97,0.44,0.01,2.73,0.01,0.01,17.31,0.01,11611.13,9.77,0.01,0.43,4.94,3732.43,1134061.61,8.66,122.93,0.95,1.35,0.01,46407.13,0.01,60139.81,280.79,7.69,0.1,128702.44,17418.81,50.28,0.01,1762.03,6030431.02,0.01,0.01,67.83,276.88,124.76,14096.32,0.53,0.01,13025.27,3765.98,0.16,0.01,128857.29,9446.94,10.53,4.45,127135.45,9.62,62006.8,38457.03,0.01,9.02,581451.26,
80,-5.82732914277,8.5,3.45,269.5,25378.13,137.93,0.01,1028.48,113944.92,42.12,14296.47,0.01,0.01,0.01,121.12,49.48,0.51,87311.06,0.2,1535.92,0.86,0.01,0.01,122487.81,1.45,570.23,1142.86,0.31,0.01,74.94,1326.14,0.01,55.23,0.58,1743.76,112209.13,64.22,97.33,127191.03,435.58,2839.74,0.03,3875.58,3.49,1186.11,0.44,211.7,0.92,0.01,0.01,64845101.4,1822.83,0.01,10.42,0.01,0.01,38.38,54.5,0.01,90741.35,9.29,0.01,0.01,993.68,90741.35,0.01,30867.83,0.01,1937.79,7.71,88.86,104.05,9.29,228315.73,9.35,36843.19,0.01,22717.98,1.79,5788.09,1.36,3.79,203.36,115.71,0.18,11240.44,0.01,32.44,7.7,6.02,0.01,0.01,306263.28,438.31,14.68,121.91,14.09,8361.25,0.01,1.7,396.99,
