image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-21666763.9633,71
40,-8.03055564305,-193156535.603,68
60,-7.07067885003,-103561191.17,72
80,-5.82732914277,-24418186.8661,64
,,,68.75
