image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,104.0,107.85,71.77,14.59,95.76,75.35,8.34,8.1,6.35,2.6,77.65,0.56,6.69,51.89,36.92,5.35,24.16,20.59,21.13,16.52,32.03,9.12,26.04,7.88,0.0,17.78,9.52,120.22,8.88,13.69,57.32,6.28,0.05,12.92,43.78,64.6,22.93,96.17,0.08,75.2,22.93,101.11,37.54,81.48,35.11,36.29,22.01,88.54,8.07,9.95,4.05,30.22,26.17,25.55,13.38,68.64,10.0,87.75,70.22,8.57,17.91,57.66,12.13,23.97,15.93,11.48,21.12,53.9,2.14,90.84,16.67,15.47,2.71,28.77,31.78,0.0,0.0,52.42,28.63,60.39,99.31,55.9,120.2,103.04,85.02,2.71,67.49,6.56,37.28,14.6,67.43,56.69,8.78,0.0,73.85,106.39,8.26,28.27,6.64,87.84,
40,-8.03055564305,108.66,26.04,118.68,24.93,107.28,0.45,69.46,19.61,62.02,76.72,50.01,11.64,106.09,67.93,97.94,78.67,40.65,0.02,78.83,7.54,12.19,77.71,10.86,9.34,94.52,13.4,14.4,89.72,31.57,23.45,0.07,106.73,80.5,8.34,91.2,5.98,54.36,0.01,26.95,37.76,53.99,46.17,2.52,1.98,17.14,11.88,5.19,122.91,32.73,5.3,77.3,90.31,9.31,68.26,1.52,119.67,94.31,32.94,5.15,13.86,11.61,124.98,10.9,16.95,28.35,100.35,15.08,86.69,0.01,30.89,34.2,5.44,95.6,121.92,96.0,12.2,2.52,9.7,8.07,21.19,31.1,39.16,22.32,11.26,9.97,30.36,62.79,0.68,30.69,108.73,0.75,4.39,53.66,33.67,22.67,26.86,9.29,54.1,1.43,22.42,
60,-7.07067885003,0.54,53.32,13.42,110.9,0.27,119.07,5.83,97.09,79.26,114.32,3.46,72.36,8.62,41.84,1.04,74.7,121.44,6.92,6.57,27.96,44.06,9.91,3.87,55.05,91.85,0.42,34.77,0.01,22.37,16.15,19.23,35.37,54.98,43.83,13.65,2.68,12.63,119.68,0.01,11.9,9.2,1.27,13.76,123.39,99.94,83.42,21.52,71.28,29.57,80.75,108.42,29.44,40.43,36.07,18.0,23.51,107.68,31.43,6.26,42.86,72.03,0.01,27.02,80.17,39.7,12.63,16.31,101.58,57.6,5.16,58.82,4.58,65.04,99.29,6.42,70.14,98.12,55.15,7.57,7.4,10.44,50.15,7.13,37.75,13.15,60.31,4.83,65.21,61.46,9.04,36.95,44.61,0.01,83.52,9.95,30.69,0.73,120.0,5.08,96.92,
80,-5.82732914277,21.39,19.69,2.42,107.24,0.93,63.93,53.05,15.13,10.79,68.38,0.37,3.74,29.44,10.81,123.68,27.96,8.49,47.84,22.23,46.94,26.55,18.9,86.62,57.99,9.52,0.46,80.18,0.01,46.4,2.26,17.22,1.96,16.03,79.74,23.37,0.01,26.92,21.26,82.68,82.52,0.01,15.27,17.81,120.41,17.32,0.01,59.73,94.34,4.9,0.02,24.55,72.24,1.27,36.71,86.59,87.0,13.55,24.54,0.87,76.33,32.08,115.84,0.01,108.8,0.19,0.01,17.7,0.01,16.76,5.78,17.15,7.4,76.23,121.05,37.12,0.01,10.52,6.02,22.93,5.48,24.96,6.08,5.07,1.11,13.25,13.79,0.85,110.19,28.75,36.7,45.12,9.54,0.55,5.87,12.98,108.03,10.21,85.22,6.69,49.99,
