image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2.15299577689,44
40,-8.03055564305,-6.57476713407,43
60,-7.07067885003,-7.47285011604,42
80,-5.82732914277,-5.86003521226,52
,,,45.25
