image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,22.5905371955,61
40,-8.03055564305,16.8359513197,73
60,-7.07067885003,18.9507775674,75
80,-5.82732914277,18.677580852,73
,,,70.5
