image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,645.47,127982.78,41.19,10.17,1.7,0.0,0.0,0.0,601.01,0.0,137.12,0.27,0.01,52592.21,1.62,0.0,8.55,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,378.59,0.0,4.19,0.98,0.01,1080.46,156.34,45050.35,7.05,0.0,0.0,0.0,0.0,0.0,0.0,9.6,31884.11,0.0,359.84,0.0,33719.64,412574.29,0.0,0.0,0.1,0.09,0.0,0.0,0.0,1825.01,0.32,0.0,0.08,0.0,0.0,1.49,0.0,0.0,0.0,300035.78,526.34,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.01,24.37,0.01,0.0,0.0,0.0,1.69,24.41,0.07,0.0,0.01,0.0,4.99,0.12,0.01,0.0,0.0,10.96,0.0,0.0,0.02,0.0,0.0,0.0,
40,-8.03055564305,0.01,72.71,0.0,0.01,2.84,310.53,0.01,0.01,0.01,1.02,10.03,0.01,0.01,0.02,0.01,84.56,0.01,3427.06,0.1,0.42,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,32390.98,2.33,0.01,3.28,663705.83,0.01,2.81,0.01,0.01,2923.27,78.88,0.01,0.01,9.15,209040.45,0.01,6.79,0.01,0.01,453.64,94.56,3.07,5.44,6.14,0.01,929.55,7.66,6.26,270.14,0.01,0.01,1886.92,0.01,0.06,0.01,0.01,599.93,0.01,0.01,19797.23,38845.86,3.72,0.01,0.01,13.29,36.17,9.32,0.01,0.01,2697.67,0.01,0.01,7.12,0.03,0.01,0.01,0.01,0.01,1294.71,0.01,0.13,0.01,0.01,45977.18,434.64,1692.23,0.01,1.64,2235.87,0.17,0.01,
60,-7.07067885003,2.83,0.01,0.01,1.63,0.39,0.01,0.67,0.25,0.01,208.63,0.01,0.01,0.76,0.01,428.14,0.03,0.01,0.01,0.01,0.01,2.72,0.01,0.01,0.01,10.93,0.01,0.01,0.01,0.01,0.17,0.01,0.01,18.61,318.91,0.01,0.01,0.01,28403.74,1327954.71,0.01,723.28,13.26,0.01,0.01,0.01,0.01,3.9,0.12,13.13,113.57,0.01,0.01,5806.78,0.01,0.01,0.01,0.25,0.01,8123.67,0.01,0.01,0.01,0.01,0.05,0.01,0.4,0.01,0.01,6.14,0.01,18.01,0.01,0.19,0.01,0.01,0.02,0.01,603.72,0.01,0.01,0.01,0.01,6607.13,0.01,39.96,0.01,0.01,0.19,3.46,88.63,0.01,6.85,0.06,47076.91,0.0,0.01,0.01,0.01,8537.2,0.01,
80,-5.82732914277,0.01,0.01,0.01,4.05,0.01,0.04,7176.58,0.01,16792.28,0.0,6.95,748.4,0.01,2063.24,0.01,0.01,0.01,1468661.7,0.01,0.01,0.0,0.01,0.01,0.18,0.01,146.59,2.99,0.01,0.01,96.14,0.01,0.01,0.01,11.64,0.01,0.01,0.01,0.01,14.76,2.33,0.01,0.01,0.18,1.83,0.01,1079.32,0.01,0.01,598.95,0.01,0.01,13334.31,0.1,0.01,0.01,191268.27,111.85,0.01,0.01,676.54,1831.52,0.01,1.5,162476.28,0.01,0.01,305.28,27.61,0.0,116.51,5923.01,0.01,17.0,90.02,20437.67,51.75,707.48,0.41,0.01,1.75,0.01,0.01,0.1,68.85,2456628.17,0.01,2.69,0.07,0.01,0.01,0.73,0.01,0.01,0.01,0.01,98031.36,0.01,0.15,0.0,0.01,
