image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,261891.51,54.77,19.32,596.6,60.27,8567.35,14090.79,1328.36,6.4,261.47,107347.46,938736.6,84350.8,5348.87,269.95,629.96,0.0,73016.61,117340.67,0.06,1529408.35,30039490.3,15.82,0.14,0.02,950.98,0.0,2023.26,119.79,8017818.94,1.16499571188e+12,32071273.84,3.04,282.05,181512.52,1118867.82,13.3,18065303.13,0.29,3916882.48,15020877.56,14814.65,18734818.64,14667.72,4949125.08,239275.93,0.28,588.73,940116.67,158843312.69,53576.66,0.64,114.59,1944.13,3504.85,90131.83,8674263.46,4331.33,3537.52,681775489.5,92666.51,15019745.47,28.45,469367.0,658693.18,0.19,68.87,7.16,547.93,226310.44,474068.61,12056172.3,14.32,6423.05,39140072.6,8080050.22,64807624.4,60078983.53,944004.68,7213820.84,13.6,154024.44,327.98,76250.63,7.48,35010.76,1263.85,666.59,10441945.18,31582.0,7.34,283780211.99,25423.42,0.07,32561.84,7813008.02,30680.31,584.73,127186.77,15242087.61,
40,-8.03055564305,0.52,320074728.22,36101299.89,5092.4,3718.81,0.02,16.54,71.45,242237.49,87425.95,19.96,1048.19,25.91,29.04,1483144.2,0.01,806043.99,0.01,0.06,3517.87,16.77,11.49,3870521511.23,2.85,4683705.24,36200.45,39433917.81,1844299.97,984668.06,3965056.87,1840.4,15044918.24,8018284.75,60322.0,14526.14,0.01,8442982.55,11.08,14612060.26,7567087.65,0.01,19.1,3469107.45,11.49,209055333.6,4059280.62,122.36,58682.37,3386.08,8.02,7.4,140943.14,43.66,16893.48,11.49,9537.33,1.39,12423747.39,61351.02,1.22,2009079.0,10902831.82,2427.71,668178.21,188.83,1128170.6,434.71,60079093.02,0.01,15418767.88,73191.67,7477.46,62627.73,0.01,0.07,11.28,9784212.24,236924.01,232.61,1098.11,251874.43,306712.78,13766582.3,194.41,1321348.19,30505.37,5706.82,4894.89,16593.37,47.8,15223024.01,3918494.65,3754936.23,136.58,2254981.69,0.01,29335.42,128.58,16425336.55,11.49,
60,-7.07067885003,544257.89,412974.75,196.73,6193.74,43903.26,0.01,1230.45,7529.06,272.39,13588905.29,178.68,1833.47,0.01,64013.77,3770.22,1082001.9,20.79,402917.04,1661.96,1990.75,20570.7,1662803613.9,234683.52,9.16,3958742.57,125.12,7879.73,225.1,469380.83,8.76,234747.92,60078979.39,285.81,4261037.53,73181.95,569.48,3631.99,1162902.54,66621154.55,413408.21,2004473.24,102073.58,1370.0,0.01,35692792.69,2161378.85,1652312.34,138223.86,16035534.63,18629797.82,20.78,0.01,29979.37,1833.47,3829581.96,14.38,3038.28,139089.95,26.2,12047.5,30261.47,15796.66,2681957.34,30465.99,457.63,1877468.19,234683.52,27.89,14701371.07,1877694.92,10.53,1986578.83,13444460.13,13781.7,25916.98,489.38,43390.54,49.7,4.54,105.66,2355689.88,30.8,5.13,0.56,171.68,11.38,7721217.83,71.41,918.35,117365.75,135770.6,11.38,138395212.29,14.15,13.17,4569022.3,1877773.74,18065461.25,40483883.49,3754936.75,
80,-5.82732914277,57.3,37469597.84,802.4,669014.79,30055609.91,74.22,9856102.81,1929.31,28.61,119825264.83,146375.11,1.17,7.1,1877477.29,1162.97,1917.84,5368456.52,571.74,15114.49,233296.06,2885888.6,45640875565.0,1522.91,3666.93,32.05,7.5,13555.33,167043.01,1212835.71,6746557.01,7463749.77,3755279.97,114.6,3917703437.54,469367.02,666460.88,103168.05,4.83,250499.6,1075.86,938748.14,1885297.92,6808534.93,837782.7,32673.23,2168836.17,501113.75,1305.02,6.7,1072614114.32,7343.15,60081773.8,35395.48,66598.76,14759.6,5.24,117362.16,83530.79,148.69,28695.16,938740.55,1415450.82,8968732.63,17.02,29826.83,59238.86,22972636.7,227045.36,34.49,1879112.44,925.92,59386.33,469493.97,18048327.65,1124.97,15718.33,26039.02,7.4,268.7,231976823.12,11.6,62171.55,59448.31,1.58,665.86,30340408.42,0.05,72748.57,4946669.18,5764.52,1925.72,0.62,3283.18,3958769.08,433.46,1903116.91,3666.93,2063.64,140535867.31,4410.91,
