image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,71.44,9182324.33,788404.84,20001364415.9,121.22,321925.4,12715.36,44841.81,91.7,60078976.36,237.92,30039501.04,141.74,2712715.48,748774.73,60337.49,6.4,262074.34,66364.66,38586.04,1096294.45,199785.78,17688615.61,670596911.03,5310.96,16035644.4,4371833.8,5.54,6.4,97654.55,52358.17,30886594.07,7520.7,402.04,2745814.49,2738518.9,108483.43,0.93,117577.96,4516317.24,16352072.88,15.79,2194229656.52,951169.22,21412518.99,6.4,4012085.73,45224.89,2308809.56,1887100.76,20332.38,20576822.44,40579360893.6,6.4,290915.1,1964362879.36,30182300.03,30039521.23,9758.02,27519503921.7,120165590.33,8810790.35,7509930.35,4008911.14,258605.37,14.67,570.94,7509910.66,106034.12,1.07,60322.43,201.1,15021040.0,2205.23,5367528.86,48492.75,36100997.02,62395.51,11349.19,16241253.89,3817575.02,44.87,14311.67,248.42,30477626.25,8547.32,6.4,20.72,120158041.61,1620617.7,6.39,6.4,0.01,40521.12,117883.73,1374.93,11384894.06,3667445.8,7291.25,51830785.66,
40,-8.03055564305,545361.18,122395.94,3108949.37,186.23,1559.35,3016.95,118584.92,55959.84,33364.22,11909296.64,9547833.13,23907.02,2012.15,7518649.44,103.94,1205.61,97.2,0.01,15021817.35,29696.32,247583.99,61630.44,917.08,4.57,370248.6,469.86,3817992.48,20600968.81,666492917.97,3519.72,1.33,424470.94,29428.66,470.09,3739.38,11.49,11.49,29631.38,4330.38,37469643.02,223.1,22629.15,3749279958.79,30084.64,7345.46,521468.33,3377457.48,1604.2,8577.4,323973.02,11.49,663.64,8910475.77,1148603.82,13589134.54,119649.87,2.04,26552.52,276433.98,11740.99,30168.35,911.62,85473370835.6,6.10802447731e+11,39320690887.2,1257696.55,11.49,46300607.55,17377.9,30615.84,978202.48,1881210.48,32119429.43,15019743.96,3275997.9,71134.15,600.83,11.49,1.95,1057.93,44015.74,30066324.69,9342.25,123359.45,121.73,11.49,0.15,4689.07,42464.2,40.48,475585.99,2229737.52,3.98,120304885.59,873316.17,1.52636701743e+13,1252784.39,205330.63,126312.1,52769.17,
60,-7.07067885003,164276.87,60094714.24,91310751.24,1575751.01,316317.42,8633.83,35069718.99,10.08,15019755.48,9.13,8598.17,5944153.87,120158280.79,25304.33,5519271.46,275611227.57,10.7,539.0,251497.69,2484981.65,10767247.68,239.37,15114.8,4635554.97,1374.52,0.53,10.22,262501.31,9961.95,14658846.68,52344.55,17851293.39,1383064762.65,4693486.19,22318680755.0,234703.82,23.94,6.29,63126.92,5068656001.47,235453.04,68979.53,368.0,0.01,55886149.45,22321225.23,97508.63,180649.12,1.62170341034e+11,4476932692.63,256644.25,2849149.56,7.06802249783e+12,119.88,19454031.81,52.27,3197.72,769217.64,1413891166.68,3755207.56,1613475.58,822445.14,439.95,2484920.33,5459246.71,10322.31,5267.05,1146590.51,301.84,18390.75,1847.16,110.13,222800.23,52196311.99,9498678597.98,605.46,141134.9,977886.97,3070.37,82419.85,8958.19,12.06,6070.64,7523001.29,30826719.43,7.08,7847964.87,202913783.89,505255.31,7.9291920055e+11,907511.8,17.69,270.18,15019755.48,125294.5,66727.91,22806049.77,9036829695.21,803596.94,160.07,
80,-5.82732914277,9.29,7881.12,1829946.95,19967.79,2924.81,1.98,4483.85,354940128.99,876861.65,1.42121718682e+12,928854.1,80347.34,1196880.19,30039953.84,517188827.72,14954.72,38655.8,6384430.21,969459.35,530674833.48,44.22,479135.96,12815626.78,19.69,4844339.35,3.69,21997.52,23167472.79,1056.63,20511.48,16919.85,37773124.9,11844224.27,147.7,9.29,2829574995.39,1059913.95,0.0,67.56,352323213.21,608662525.4,515071.7,33.09,1070851.28,3752710.86,1041632.56,816256.37,10.55,2062101.75,117902.99,172203.09,6453028.47,45033.68,30040808.79,90831.5,15829269.28,197770.34,2256339.57,6050812004.53,204.29,42.12,37075145.05,1704.28,64673.84,5151602.76,445519.08,12.8,5619.11,182.13,939253.62,10771450.34,3982663.2,3617.8,1129760.19,1354167.96,70278.73,1318510.84,0.16,5080147.74,16954.75,4171.53,2047502.74,469858.73,5.03783186929e+11,2972642.92,6420.1,120165386.9,1748.9,7.5,5357.33,9.29,8737352.58,3853491.21,48557.91,120157964.42,200.29,7721211.92,366517.86,40932130546.8,10251.81,
