image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.38,17430.42,30437527.66,1200519.45,115112.6,458.35,3108.45,14636905429.7,2.15,6.4,672771113.98,19620.89,8989748.74,3700.7,255043765.74,1049295.97,111.26,48733.29,3313.96,15541.97,66738.81,1.53,4348673579.18,1350.11,2917213929.29,1019251.49,56.38,2.58456952741e+12,0.15,15019745.47,68521.1,44366833.53,289.29,243.14,6.09,38987.86,1248.76,6.4,2181.69,621248.99,675.16,6.4,6.4,1542.99,5474.72,12486.25,514215.1,631096507.22,1065.71,20662.66,17272641.09,3360.74,5791.49,20024755.62,6.39,181806.28,325.67,55206439870.9,413662.12,316483634.39,93765.22,938734.92,0.27,58670.51,571.46,172.57,835101567.92,32.91,19.69,34475.23,28368.79,20167.41,3285227694.62,473.52,16561453.64,9166.54,2243074.01,38716.18,42.09,11.38,168411.84,469382.33,5223.07,3409.39,84.98,66.66,0.36,7333.83,0.89,24.31,7182.2,1916348.24,120175387.9,492179.11,76841.85,1338485.95,0.4,6.4,551.64,54693.29,
40,-8.03055564305,353.19,287708141.84,7849917.47,0.49,0.19,732309.7,7568.42,3172164.24,0.46,39.26,2151.38,658508.48,0.42,25487.61,0.04,5459.03,599393.73,6.23,1089.45,7422.24,25.22,939825.22,202161.96,303.52,916.7,59490.45,0.01,77019.36,277.52,1.39,8319159.21,71949.59,4.52,60.84,103934.89,0.01,1026698.54,502865526.96,117341.78,50.04,3851737.9,15019754.65,1989196.24,50880638.79,0.01,9260354725.34,14.76,3666.94,9101161.5,1203.78,15674.17,7509872.44,619482.22,411.62,13.36,204.84,14965.33,15.17,474429.5,83529.19,37.91,21154.03,72808.7,59522.13,13.15,9961214.17,4.08,4516327.26,16480.05,29485.25,0.3,321.46,17.24,1721817.88,11.49,1286577882.91,30160.9,10.21,7.1,2205620.48,0.36,894.96,10111.36,15101227.51,700.2,74053.57,38023.82,250165.99,40.92,2611.74,140148.11,11.27,2657.03,128767.63,690.15,7796251.07,60078987.33,32302.78,0.06,3790613.1,
60,-7.07067885003,1890812.78,29724.16,148.72,1879217.1,29724.16,119249.04,11.11,469920.59,419021.6,124.73,68296.78,925.8,10.53,67.0,101982.18,6427667.85,75997293.74,2645772.86,30.25,18739675.01,1321.12,31110.59,41.6,129.33,2678.24,32649.72,191.1,133.94,14.11,291.65,167344.07,22600.42,671.71,0.01,18867.7,32.14,129.58,2598047.04,97953407354.1,10.16,6608.31,761.85,12234.25,3755230.83,1978281.24,165183.01,77018.32,295035.8,6294698.67,7976.3,250547.65,1985.48,16993.65,4438566.53,10848.41,5.59460442247e+11,39434794.19,8.05,25738327.62,24.52,3754954.02,25771029.37,233.06,219197.94,10777.13,48517.56,11048481.15,76979.85,16.03,446.99,25.06,14615264130.4,258016.64,73883.07,1129.53,33384.57,1886290.4,1293.86,113691650.12,1940999.59,173453.37,31734.83,12018.23,551346.24,10.05,242.09,17563.44,70879.03,2.67,1645.0,67802.27,664841.57,555.72,1145707.02,867612.4,1680970.9,15019744.92,22.41,447.95,11.43,
80,-5.82732914277,304324.17,33.21,20700.76,531.84,5228987470.07,35.94,12399.69,3.15732496669e+12,23762.43,15191.54,40054.53,28.41,60983.16,3.49,3.41,252629.73,408453.03,912.82,4.27,4149311.57,13950.08,398038.7,20164141264.2,2349556.91,3754935.3,112.7,57596419.88,273356.78,1529.42,11104130162.1,2916.47,9.29,124130655.91,342502.02,5.78,7484.85,3.57,0.35,473122.02,64.44,0.58,18709.28,4797.65,22967.56,883.6,64399.09,360218829.46,1339334.38,66068.52,2426.08,3387.11,229653539.22,115753346.88,1984783791.49,732878216.74,22.95,1.36,8576.16,330985.68,493809.49,938731.25,15173796.61,12396.09,1324.16,26.15,54539.74,7966.28,5607.71,31.04,149.36,646.19,10692585.38,1989.45,6877.18,280487.82,9.67,12.48,9.35,7829.9,1.65,1346674163.33,15503.45,4871.46,7103.08,965583.94,308.59,198.83,19901.56,31733043.22,884.05,159444193.42,17490.77,37469529.8,2180.97,42945368.9,7328.19,1833.47,469581.45,1177386.41,1361.22,
