image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-223153.102874,20
40,-8.03055564305,-741319.516275,20
60,-7.07067885003,-515722.760502,22
80,-5.82732914277,-1345911.79845,21
,,,20.75
