image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,203631.71,363.75,12.56,3853.27,84.76,12461.7,2357.04,0.0,41287.04,299.01,49.26,0.0,0.0,0.68,0.0,0.0,46.27,0.02,88947.43,159.82,0.0,2.48,0.0,13656.1,0.0,63.9,0.0,1505.07,64715.7,159.82,5441.22,0.0,0.0,160272.51,20251.72,660.17,4932.97,0.0,127.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10007.36,645.11,6.4,0.0,975.19,48205.19,0.05,0.0,0.64,81827.64,0.0,481.66,0.08,10.32,0.0,0.0,2623.85,0.0,0.0,818.22,38658.11,0.0,22925.51,123304.77,0.63,0.0,1282179.92,0.0,0.0,0.66,20.63,0.0,127.68,0.0,337195.23,23125.72,6.07,319.64,0.44,170.04,19.81,0.0,0.0,27731.63,0.0,0.32,61652.38,660592.67,39805.77,252.07,68.65,0.0,0.0,49457534.89,
40,-8.03055564305,0.01,2104.81,0.01,1.82,0.01,9513.12,3957.98,0.01,0.01,0.01,19086.94,0.01,961.6,0.01,0.01,0.01,120423.42,0.01,42.31,0.01,0.01,0.01,2.1,191.76,0.01,0.02,0.01,0.01,0.01,0.01,538827.89,7.73,0.01,244042.45,5.7,0.01,0.01,1.13,480.81,0.01,0.01,1133.27,111.69,61541.76,0.01,0.01,7.36,142246.47,11.49,2.63,0.01,255.98,0.01,0.01,0.01,0.01,7.53,529880.8,61.69,0.26,2972530014.07,0.01,0.01,266219.61,0.01,0.01,29.59,10502.69,0.01,4209.61,4209.61,0.01,7.46,0.01,0.01,6613.24,0.01,0.01,0.01,36403.22,19660.32,0.01,0.01,30260.36,1887.29,228544.85,240846.84,0.13,979.07,10.34,19.86,9554.15,0.01,5.58,2004.36,1.63,0.01,0.01,0.01,0.73,
60,-7.07067885003,15734.05,0.61,402.34,0.01,97.01,32727.47,8.88,0.01,0.01,18.13,12.56,0.01,493.29,14.3,9665417552.81,10.53,10.53,62936.18,0.61,0.01,1900177.51,3.87,3.85,1.06,0.07,0.0,0.01,86632.48,1.76,8044.79,0.01,95.61,0.01,3.83,3.01,0.01,0.61,5.59,2268123.35,15.85,0.01,0.01,0.01,0.59,262.53,0.01,255.1,27367610.1,2.42,1.36,96.32,0.01,0.01,0.01,0.01,2202.67,0.01,128702.44,1736.58,0.01,22886392.78,0.01,10.53,110.12,0.01,70878.87,39349.39,30.99,0.01,271204.24,1385946.05,0.01,66.46,514809.78,95467961.11,255485.25,2911.83,126207.19,0.01,0.0,10.53,0.01,0.01,3524.07,0.01,1.29,0.01,0.9,0.01,0.01,2013957.93,0.34,154.12,0.01,16389.71,8.66,0.01,0.01,0.09,0.01,
80,-5.82732914277,0.01,0.01,0.01,0.02,1790364.07,3.42,0.01,11958.93,0.01,8.79,0.01,19069.52,37.25,3.39,0.0,9.29,0.02,0.01,0.01,130.37,0.01,0.01,9.5,252.28,0.01,0.01,0.01,7.93,1.89,41000.14,0.01,0.01,1526.28,9.29,68.21,3800.11,0.58,1090565.51,4.35,514821.87,165730.51,17151.46,0.01,0.01,0.01,0.45,850.02,7.57,709.93,0.01,0.01,0.01,278.53,89991.99,1032.77,0.01,8463.3,7.85,0.01,0.01,0.01,0.01,32.45,0.01,1.03,0.01,514821.87,5.73,1564.33,0.01,29.73,363487.71,0.01,8.28,0.01,0.01,144596805.95,0.01,202544.49,0.01,0.01,0.01,12.4,0.01,0.01,2942.83,0.01,0.01,0.01,3698.18,2.58,0.01,1.15,0.01,0.01,6.2,0.01,274424.69,0.01,82.35,
