image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,10.911303313,50
40,-8.03055564305,5.06547325392,40
60,-7.07067885003,5.28553087767,49
80,-5.82732914277,6.32273083356,43
,,,45.5
