image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-7983.75637713,22
40,-8.03055564305,13174.6045463,21
60,-7.07067885003,30626.6250067,17
80,-5.82732914277,12423.8156121,12
,,,18
