image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,724454.293036,85
40,-8.03055564305,-190576.550417,91
60,-7.07067885003,-791727.330149,88
80,-5.82732914277,610573.991055,93
,,,89.25
