image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,-2835992.88994,64
40,-8.03055564305,-2102728.11447,62
60,-7.07067885003,-871746.94037,71
80,-5.82732914277,300745.881485,66
,,,65.75
