image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,24.9676010879,68.0,
40,-8.03055564305,20.4206508336,73.0,
60,-7.07067885003,21.3788971142,73.0,
80,-5.82732914277,18.8974922574,74.0,
overall average SDC = 72.0
