image,golden_value,average_difference,sdc_percentage
20,-2.93503815429,7429.02929268,24.0,
40,-8.03055564305,-3613.82998031,34.0,
60,-7.07067885003,12903.8890939,22.0,
80,-5.82732914277,8464.00114228,30.0,
overall average SDC = 27.5
