image,golden_value,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,error_19,error_20,error_21,error_22,error_23,error_24,error_25,error_26,error_27,error_28,error_29,error_30,error_31,error_32,error_33,error_34,error_35,error_36,error_37,error_38,error_39,error_40,error_41,error_42,error_43,error_44,error_45,error_46,error_47,error_48,error_49,error_50,error_51,error_52,error_53,error_54,error_55,error_56,error_57,error_58,error_59,error_60,error_61,error_62,error_63,error_64,error_65,error_66,error_67,error_68,error_69,error_70,error_71,error_72,error_73,error_74,error_75,error_76,error_77,error_78,error_79,error_80,error_81,error_82,error_83,error_84,error_85,error_86,error_87,error_88,error_89,error_90,error_91,error_92,error_93,error_94,error_95,error_96,error_97,error_98,error_99
20,-2.93503815429,0.0,0.0,0.0,0.0,0.0,0.85,0.07,0.39,0.0,0.0,0.0,0.0,0.0,0.0,19.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118426.94,0.0,1568.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84,0.0,0.0,0.0,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85064.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,4.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,-8.03055564305,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1475.89,0.01,0.01,0.01,0.01,0.64,0.01,0.01,2939.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,53.09,0.01,0.01,0.01,7584.13,0.01,0.01,0.01,0.7,0.01,0.01,5171.05,0.01,0.01,0.01,0.01,0.01,0.01,4125.13,0.01,0.01,0.01,0.01,0.01,0.01,20876.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1529.32,0.01,0.01,0.01,0.01,0.01,726.95,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,186.23,0.01,15.39,0.39,0.01,0.01,6901.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36.98,0.01,0.01,
60,-7.07067885003,0.01,0.01,0.01,2.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,175.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,115026.36,0.01,0.01,0.01,0.01,1.83,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,128.56,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,2.5,0.01,0.01,0.01,0.01,0.01,83.85,0.01,0.01,0.01,2.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.31,0.01,0.01,0.01,1.51,0.01,0.01,
80,-5.82732914277,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.0,0.01,0.01,0.48,0.01,0.0,0.01,0.12,0.01,0.01,0.01,0.01,225.12,0.01,0.01,0.01,0.01,21415.85,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,5946.31,0.01,0.01,0.0,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,375.06,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.86,0.01,0.01,0.01,0.01,0.01,3896.68,0.01,0.01,0.01,110865.91,0.01,0.01,0.01,777.52,0.01,0.01,0.01,0.01,0.01,1.48,0.01,0.01,0.01,1.09,0.01,0.0,0.01,0.01,13883.32,0.14,0.01,0.01,0.01,0.01,
